,0
0,0.10496402515571646
1,0.10668648071381127
2,0.10287135525798184
3,0.09025895806259777
4,0.08356344468736115
5,0.08442993991832512
6,0.07820841972500692
7,0.07905428485419667
8,0.0936831930106111
9,0.10833627267427748
10,0.13098628756583144
11,0.15235113723458132
12,0.15529702776058632
13,0.15305460217150912
14,0.14816699329590322
15,0.14837593371749444
16,0.1504719167990381
17,0.1536409165425817
18,0.15562301216545738
19,0.15177663829858914
20,0.15137828595171735
21,0.15362299073975227
22,0.1530651664648047
23,0.15503783060562024
24,0.16168332969299792
25,0.16570207206088608
26,0.16897176559160879
27,0.1712561437959847
28,0.16852608945841957
29,0.16669301527697314
