,0
0,0.541842666202129
1,0.43087306729266084
2,0.4149144857769294
3,0.4779796923552754
4,0.504484451480497
5,0.5069553097586565
6,0.4703751555738778
7,0.44105180076639067
8,0.41936894774015393
9,0.41539285968704925
10,0.43790956936341513
11,0.4199259637126511
12,0.41417978769869307
13,0.4318967588796238
14,0.4370524939731354
15,0.44544851286984655
16,0.4623416585027659
17,0.4841506638119993
18,0.5048486594962508
19,0.5258874021423932
20,0.5387450253440794
21,0.5269690379536351
22,0.5157558309824226
23,0.5051190145860182
24,0.4973273680549732
25,0.48772305974313074
26,0.4820522534219123
27,0.4733978766246346
28,0.46784054598138675
29,0.46723557862670734
