rad,date
1.226,2010-01-01
4.401999999999999,2010-01-02
2.5559999999999996,2010-01-03
3.575999999999999,2010-01-04
2.515999999999999,2010-01-05
3.929999999999999,2010-01-06
2.1719999999999993,2010-01-07
0.9579999999999993,2010-01-08
2.1379999999999995,2010-01-09
1.3239999999999994,2010-01-10
1.8099999999999994,2010-01-11
3.119999999999999,2010-01-12
3.4019999999999997,2010-01-13
2.4459999999999993,2010-01-14
3.6679999999999993,2010-01-15
3.9199999999999995,2010-01-16
3.419999999999999,2010-01-17
2.8239999999999994,2010-01-18
3.6919999999999993,2010-01-19
4.033999999999999,2010-01-20
3.843999999999999,2010-01-21
3.8279999999999994,2010-01-22
4.093999999999999,2010-01-23
4.417999999999999,2010-01-24
3.62,2010-01-25
2.9899999999999998,2010-01-26
3.4859999999999993,2010-01-27
4.055999999999999,2010-01-28
2.6399999999999997,2010-01-29
3.8579999999999997,2010-01-30
3.8379999999999996,2010-01-31
4.0859999999999985,2010-02-01
3.0379999999999994,2010-02-02
3.8419999999999987,2010-02-03
3.5179999999999993,2010-02-04
4.355999999999999,2010-02-05
3.9179999999999993,2010-02-06
3.293999999999999,2010-02-07
1.689999999999999,2010-02-08
1.6379999999999992,2010-02-09
2.781999999999999,2010-02-10
3.775999999999999,2010-02-11
6.608,2010-02-12
4.452,2010-02-13
3.4579999999999997,2010-02-14
2.4259999999999997,2010-02-15
3.1579999999999995,2010-02-16
2.764,2010-02-17
4.002,2010-02-18
4.303999999999999,2010-02-19
3.977999999999999,2010-02-20
3.2559999999999993,2010-02-21
3.3619999999999997,2010-02-22
3.855999999999999,2010-02-23
1.6179999999999992,2010-02-24
3.3039999999999994,2010-02-25
3.477999999999999,2010-02-26
3.4219999999999993,2010-02-27
4.175999999999999,2010-02-28
4.1259999999999994,2010-03-01
4.337999999999999,2010-03-02
3.971999999999999,2010-03-03
4.7559999999999985,2010-03-04
3.015999999999999,2010-03-05
2.8859999999999992,2010-03-06
3.397999999999999,2010-03-07
1.8459999999999994,2010-03-08
3.6879999999999997,2010-03-09
3.883999999999999,2010-03-10
4.0699999999999985,2010-03-11
4.061999999999999,2010-03-12
3.4899999999999993,2010-03-13
3.911999999999999,2010-03-14
3.4519999999999995,2010-03-15
3.8379999999999996,2010-03-16
4.2459999999999996,2010-03-17
3.531999999999999,2010-03-18
4.06,2010-03-19
3.9519999999999995,2010-03-20
0.8639999999999993,2010-03-21
3.2879999999999994,2010-03-22
2.679999999999999,2010-03-23
3.3679999999999994,2010-03-24
5.656,2010-03-25
1.8619999999999997,2010-03-26
3.0199999999999996,2010-03-27
3.4019999999999997,2010-03-28
2.467999999999999,2010-03-29
3.6519999999999997,2010-03-30
3.8239999999999994,2010-03-31
3.5599999999999996,2010-04-01
3.3979999999999997,2010-04-02
4.117999999999999,2010-04-03
3.8419999999999996,2010-04-04
4.568,2010-04-05
3.28,2010-04-06
3.8259999999999996,2010-04-07
2.4639999999999995,2010-04-08
1.7319999999999998,2010-04-09
3.3579999999999997,2010-04-10
2.7359999999999998,2010-04-11
1.658,2010-04-12
3.786,2010-04-13
3.976,2010-04-14
3.396,2010-04-15
4.2,2010-04-16
3.9620000000000006,2010-04-17
3.102,2010-04-18
6.5699999999999985,2010-04-19
3.9900000000000007,2010-04-20
3.8259999999999996,2010-04-21
3.8059999999999996,2010-04-22
2.582,2010-04-23
3.79,2010-04-24
4.026,2010-04-25
4.1579999999999995,2010-04-26
3.45,2010-04-27
3.914,2010-04-28
4.64,2010-04-29
2.864,2010-04-30
3.758,2010-05-01
2.94,2010-05-02
3.248,2010-05-03
3.382,2010-05-04
3.3880000000000003,2010-05-05
3.714,2010-05-06
4.242,2010-05-07
4.394,2010-05-08
4.6240000000000006,2010-05-09
3.724,2010-05-10
3.8760000000000003,2010-05-11
3.5540000000000007,2010-05-12
2.1080000000000005,2010-05-13
3.7340000000000004,2010-05-14
2.2560000000000002,2010-05-15
3.7680000000000007,2010-05-16
3.4820000000000007,2010-05-17
3.7120000000000006,2010-05-18
2.9460000000000006,2010-05-19
3.8280000000000003,2010-05-20
3.492,2010-05-21
3.532,2010-05-22
2.474,2010-05-23
2.862,2010-05-24
3.8620000000000005,2010-05-25
