DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2017-10-27 21:00:00,108,0,989.6,1.03,34.4,27.2,5.7
2017-10-27 18:00:00,102,0,988.8,6.07,35.6,27.2,5.9
2017-10-27 15:00:00,111,0,991.8,6.43,33.7,32,6
2017-10-27 12:00:00,99,0,994.4,3.89,30.9,41.6,4.7
2017-10-27 09:00:00,66,0,993.1,0.1,24.3,73.6,3.4
2017-10-27 06:00:00,66,0,991.1,0,24.6,76.8,5
2017-10-27 03:00:00,63,0,991.1,0,25.8,73.6,5.8
2017-10-27 00:00:00,72,0,992.3,0,27.4,62.4,6.2
2017-10-26 21:00:00,111,0,990,1.15,33.8,27.2,5.5
2017-10-26 18:00:00,105,0,989.5,4.76,35.2,25.6,6
2017-10-26 15:00:00,132,0,991.5,6.6,35.4,25.6,5
2017-10-26 12:00:00,114,0,993.9,3.31,32,33.6,4.5
2017-10-26 09:00:00,63,0,993.1,0.13,25.2,68.8,2.6
2017-10-26 06:00:00,69,0,991.5,0,24.8,75.2,3.3
2017-10-26 03:00:00,63,0,991.3,0,25.8,72,5.4
2017-10-26 00:00:00,111,0,989,1.37,34.3,25.6,5
2017-10-25 21:00:00,111,0,989,1.39,34.3,25.6,5
2017-10-25 18:00:00,120,0,988.4,6.46,35.9,22.4,4.4
2017-10-25 15:00:00,129,0,991.3,7.74,35.5,24,4.3
2017-10-25 12:00:00,129,0,994.6,3.2,31.5,33.6,5.1
2017-10-25 09:00:00,93,0,993.8,0.18,26.2,56,5.7
2017-10-25 06:00:00,66,0,991.6,0,25.1,73.6,3.9
2017-10-25 03:00:00,69,0,991.8,0,25.7,75.2,5.1
2017-10-25 00:00:00,75,0,991.7,0,28,64,5.9
2017-10-24 21:00:00,114,0,989,1.37,34.3,30.4,6
2017-10-24 18:00:00,120,0,988.3,5.42,36.3,25.6,5.9
2017-10-24 15:00:00,126,0,991.2,6.2,35.4,30.4,5.3
2017-10-24 12:00:00,114,0,994.1,3.55,30.5,43.2,5.4
2017-10-24 09:00:00,72,0,992.9,0.13,24.8,70.4,3.6
2017-10-24 06:00:00,66,0,991.2,0,24.6,75.2,4.4
2017-10-24 03:00:00,69,0,991.8,0,25.3,73.6,6.1
2017-10-24 00:00:00,78,0,992.1,0,27.6,56,5.2
2017-10-23 21:00:00,105,0,989.5,1.38,33.6,24,4.5
2017-10-23 18:00:00,111,0,989.2,6.5,35.4,22.4,4.6
2017-10-23 15:00:00,120,0,992.1,7.78,33.7,25.6,5.3
2017-10-23 12:00:00,99,0,994.8,4.2,30.1,36.8,5.2
2017-10-23 09:00:00,72,0,993.7,0.14,23.5,64,2.8
2017-10-23 06:00:00,66,0,991.7,0,25.4,65.6,5.3
2017-10-23 03:00:00,66,0,991.7,0,25.4,65.6,5.3
2017-10-23 00:00:00,69,0,992.7,0,27.6,46.4,6.4
2017-10-22 21:00:00,96,0,990.3,1.39,33.1,27.2,5.3
2017-10-22 18:00:00,114,0,990.2,5.65,34.7,25.6,6.6
2017-10-22 15:00:00,117,0,993.1,7.37,33.8,28.8,6.7
2017-10-22 12:00:00,105,0,995.2,3.23,30.6,38.4,5.4
2017-10-22 09:00:00,75,0,994.2,0.14,24,72,3.1
2017-10-22 06:00:00,69,0,992.4,0,24.1,73.6,3.7
2017-10-22 03:00:00,66,0,993.7,0,25.4,68.8,4.5
2017-10-22 00:00:00,108,0,991.8,1.19,32.4,40,7.2
2017-10-21 21:00:00,108,0,991.8,1.19,32.4,40,7.2
2017-10-21 18:00:00,108,0,991.3,4.75,34.6,27.2,6.6
2017-10-21 15:00:00,120,0,993.5,6.52,33.4,32,7.5
2017-10-21 12:00:00,126,0,995.5,3.9,31.2,35.2,6.1
2017-10-21 09:00:00,87,0,994.5,0.13,24.6,68.8,3
2017-10-21 06:00:00,75,0,992.5,0,24.3,78.4,5.2
2017-10-21 03:00:00,72,0,993.1,0,25.7,73.6,6.5
2017-10-21 00:00:00,69,0,993.9,0,26.5,68.8,7.8
2017-10-20 21:00:00,105,0,990.6,1.26,33.6,33.6,5.9
2017-10-20 18:00:00,108,0,990.8,5.22,35.1,28.8,6
2017-10-20 15:00:00,105,0,994.1,5.08,32.2,36.8,6.5
2017-10-20 12:00:00,108,0,995.8,1.87,29.3,44.8,4.9
2017-10-20 09:00:00,75,0,994.3,0.05,23.8,72,3
2017-10-20 06:00:00,72,0,992.6,0,23.8,75.2,3.3
2017-10-20 03:00:00,66,0,996.5,0,25.3,68.8,5.1
2017-10-20 00:00:00,69,0,993.8,0,27.6,52.8,5.6
2017-10-19 21:00:00,102,0,991.5,1.42,33.2,27.2,5.4
2017-10-19 18:00:00,105,0,990.9,6.52,35.1,24,6.6
2017-10-19 15:00:00,120,0,993.5,7.57,34.7,27.2,6.1
2017-10-19 12:00:00,120,0,996.2,3.82,30.1,38.4,6.2
2017-10-19 09:00:00,87,0,995.3,0.14,24.3,65.6,5.1
2017-10-19 06:00:00,75,0,993.9,0,24.7,65.6,5.5
2017-10-19 03:00:00,66,0,993.5,0,25,73.6,6
2017-10-19 00:00:00,66,0,994.5,0,26.5,65.6,6.7
2017-10-18 21:00:00,87,0,992.3,0.94,31.1,40,6.1
2017-10-18 18:00:00,105,0,991.4,4.7,35,25.6,5.1
2017-10-18 15:00:00,120,0,994.1,7.01,34.3,28.8,4.7
2017-10-18 12:00:00,102,0,996.6,3.62,30.4,40,4.6
2017-10-18 09:00:00,69,0,995.8,0.14,23.6,72,2.5
2017-10-18 06:00:00,69,0,994.2,0,23.2,78.4,3.8
2017-10-18 03:00:00,60,0,994.5,0,24.5,75.2,5.5
2017-10-18 00:00:00,75,0,995.2,0,26.3,65.6,6.2
2017-10-17 21:00:00,120,0,992.6,0.95,33,27.2,2.4
2017-10-17 18:00:00,129,0,992.1,3.88,35.2,25.6,2.6
2017-10-17 15:00:00,135,0,995,4.44,32.5,33.6,3.9
2017-10-17 12:00:00,105,0,997.3,2.71,29.2,41.6,6.5
2017-10-17 09:00:00,84,0,995.7,0.06,25.5,64,4.5
2017-10-17 06:00:00,78,0,994,0,25.5,65.6,6.3
2017-10-17 03:00:00,72,0,994.1,0,26,68.8,7.8
2017-10-17 00:00:00,66,0,994.5,0,26,70.4,7.1
2017-10-16 21:00:00,87,0,991.6,1.02,32.8,32,3.3
2017-10-16 18:00:00,117,0,991.5,4.4,33.7,32,3.3
2017-10-16 15:00:00,123,0,994,3.28,32.1,36.8,4.6
2017-10-16 12:00:00,90,0,996.6,3.22,30,46.4,5.3
2017-10-16 09:00:00,84,0,995.4,0.06,24.8,67.2,5.6
2017-10-16 06:00:00,78,0,993.9,0,24.5,75.2,5.4
2017-10-16 03:00:00,69,0,993.9,0,24.8,75.2,7.1
2017-10-16 00:00:00,63,0,993.8,0,26.5,60.8,8
2017-10-15 21:00:00,69,0,990.4,1.4,33.6,30.4,4.1
2017-10-15 18:00:00,72,0,990,6.52,35.1,28.8,4.4
2017-10-15 15:00:00,90,0,992.9,7.61,33.3,33.6,4.9
2017-10-15 12:00:00,108,0,995.5,2.08,28.9,48,5.8
2017-10-15 09:00:00,93,0,994,0.05,25.3,64,7.1
2017-10-15 06:00:00,75,0,992.4,0,24.8,73.6,7.1
2017-10-15 03:00:00,69,0,992.6,0,25.5,72,7.5
2017-10-15 00:00:00,99,0,990.5,1.42,31,49.6,5.1
2017-10-14 21:00:00,99,0,990.5,1.42,31,49.6,5.1
2017-10-14 18:00:00,99,0,991.8,7.64,34.1,28.8,5.1
2017-10-14 15:00:00,96,0,994.9,4.04,30.4,41.6,4.8
2017-10-14 12:00:00,96,0,994.9,4.04,30.4,41.6,4.8
2017-10-14 09:00:00,81,0,993.4,0.13,24.4,67.2,3.3
2017-10-14 06:00:00,75,0,991.5,0,24.7,65.6,6.1
2017-10-14 03:00:00,63,0,991.7,0,25.3,70.4,6.9
2017-10-14 00:00:00,63,0,992.4,0,27,57.6,7.2
2017-10-13 21:00:00,105,0,989.9,1.52,33.3,35.2,4.6
2017-10-13 18:00:00,117,0,989.3,6.61,37.1,20.8,4
2017-10-13 15:00:00,117,0,991.6,7.7,34.4,27.2,3.8
2017-10-13 12:00:00,108,0,994.1,4.08,30.7,35.2,4.4
2017-10-13 09:00:00,75,0,992.6,0.13,23.8,65.6,2.8
2017-10-13 06:00:00,69,0,991.1,0,23.4,73.6,4.4
2017-10-13 03:00:00,60,0,991.1,0,24.8,70.4,6
2017-10-13 00:00:00,69,0,991.8,0,26.8,62.4,6.3
2017-10-12 21:00:00,108,0,989.3,1.44,34,25.6,4.3
2017-10-12 18:00:00,135,0,988.6,6.44,35.9,24,3.2
2017-10-12 15:00:00,123,0,991.5,7.79,34,30.4,4.5
2017-10-12 12:00:00,102,0,994.7,3.9,29.3,41.6,4.6
2017-10-12 09:00:00,69,0,992.2,0,23.7,73.6,5.2
2017-10-12 06:00:00,69,0,992.2,0,23.7,73.6,5.2
2017-10-12 03:00:00,66,0,992.3,0,24.7,73.6,6.5
2017-10-12 00:00:00,69,0,992.7,0,25.8,70.4,6.9
2017-10-11 21:00:00,108,0,989.3,4.81,33.6,28.8,4.6
2017-10-11 18:00:00,108,0,989.3,4.81,33.6,28.8,4.6
2017-10-11 15:00:00,111,0,992.1,5.74,32.8,32,5.4
2017-10-11 12:00:00,111,0,994.1,3.28,29.1,48,6.5
2017-10-11 09:00:00,93,0,993.3,0.06,25.1,64,6.6
2017-10-11 06:00:00,75,0,992.1,0,24.9,67.2,8
2017-10-11 03:00:00,63,0,992.3,0,25.7,68.8,6.9
2017-10-11 00:00:00,69,0,992.4,0,26.2,62.4,7.6
2017-10-10 21:00:00,96,0,989.7,1.34,33.2,27.2,3.3
2017-10-10 18:00:00,108,0,989.4,6.04,34.9,25.6,2.8
2017-10-10 15:00:00,141,0,992.4,5.78,34,30.4,2.6
2017-10-10 12:00:00,84,0,994.8,3.74,30.1,41.6,4.1
2017-10-10 09:00:00,66,0,993.6,0.08,23.6,68.8,2.3
2017-10-10 06:00:00,69,0,992.5,0,23.9,72,4.2
2017-10-10 03:00:00,63,0,993.2,0,25,72,6.6
2017-10-10 00:00:00,69,0,993,0,26,67.2,6.7
2017-10-09 21:00:00,123,0,989.7,1.44,34.4,24,2.3
2017-10-09 18:00:00,168,0,989.5,6.01,36.7,22.4,2.2
2017-10-09 15:00:00,132,0,992.2,6.26,32.8,35.2,2.6
2017-10-09 12:00:00,99,0,994.8,2.56,29.1,49.6,3
2017-10-09 09:00:00,72,0,993.5,0.05,23.9,70.4,2.3
2017-10-09 06:00:00,63,0,991.9,0,23.9,76.8,3.4
2017-10-09 03:00:00,66,0,992.4,0,25.1,73.6,5.4
2017-10-09 00:00:00,81,0,991.9,0,27.2,57.6,5.4
2017-10-08 21:00:00,141,0,989.1,6.17,37.3,20.8,2.3
2017-10-08 18:00:00,153,0,992.2,7.19,35.1,27.2,2.6
2017-10-08 15:00:00,153,0,992.2,7.19,35.1,27.2,2.6
2017-10-08 12:00:00,108,0,994.9,3.86,31.5,41.6,2.8
2017-10-08 09:00:00,66,0,993.7,0.11,23.9,65.6,2.2
2017-10-08 06:00:00,78,0,992.8,0,23.7,78.4,3.8
2017-10-08 03:00:00,69,0,992.7,0,25.1,67.2,5.7
2017-10-08 00:00:00,66,0,993.3,0,28.3,46.4,3.8
2017-10-07 21:00:00,150,0,990.7,1.63,32.7,24,1.7
2017-10-07 18:00:00,126,0,990.6,6.43,35.5,22.4,3
2017-10-07 15:00:00,111,0,993.5,7.13,34.4,27.2,4.1
2017-10-07 12:00:00,105,0,996.2,3.26,29.9,38.4,5.1
2017-10-07 09:00:00,75,0,994.9,0.06,24.4,60.8,4
2017-10-07 06:00:00,72,0,992.9,0,24.3,70.4,4.3
2017-10-07 03:00:00,63,0,993.7,0,25.2,72,5.8
2017-10-07 00:00:00,69,0,994.5,0,26.9,59.2,6.3
2017-10-06 21:00:00,108,0,991.5,1.43,33,24,4.6
2017-10-06 18:00:00,117,0,991,6.48,35.5,20.8,4.9
2017-10-06 15:00:00,117,0,994,7.8,33.4,27.2,6.3
2017-10-06 12:00:00,123,0,996.3,3.44,30,35.2,6.8
2017-10-06 09:00:00,69,0,993.8,0,24.1,64,4.9
2017-10-06 06:00:00,69,0,993.8,0,24.1,64,4.9
2017-10-06 03:00:00,69,0,994.2,0,25.3,67.2,5.5
2017-10-06 00:00:00,69,0,994.2,0,27.1,60.8,6.7
2017-10-05 21:00:00,111,0,990.9,1.38,33.7,24,6
2017-10-05 18:00:00,108,0,990.5,6.38,35.1,24,6.7
2017-10-05 15:00:00,117,0,993.4,7.28,33.5,28.8,7.1
2017-10-05 12:00:00,114,0,996.3,2.81,30.4,36.8,4.3
2017-10-05 09:00:00,78,0,994.7,0.08,25.4,54.4,3.3
2017-10-05 06:00:00,72,0,992.9,0,24.5,72,4
2017-10-05 03:00:00,66,0,992.7,0,26.2,67.2,5.8
2017-10-05 00:00:00,72,0,992.3,0,27.9,57.6,5.9
2017-10-04 21:00:00,117,0,990.1,1.46,33.4,24,4.9
2017-10-04 18:00:00,117,0,990,6.26,34.8,24,6.1
2017-10-04 15:00:00,111,0,992,7.46,33.9,28.8,6.5
2017-10-04 12:00:00,105,0,994.8,3.32,30.4,38.4,6.3
2017-10-04 09:00:00,81,0,993.7,0.1,23.5,72,3.3
2017-10-04 06:00:00,69,0,991.7,0,23.8,75.2,4.4
2017-10-04 03:00:00,66,0,992.6,0,25.2,72,5.9
2017-10-04 00:00:00,72,0,993.1,0,26.9,62.4,5.4
2017-10-03 21:00:00,105,0,990.4,1.43,33.2,28.8,4.9
2017-10-03 18:00:00,111,0,990.3,6.07,35,27.2,5.1
2017-10-03 15:00:00,117,0,992.9,5.94,33.2,32,5.6
2017-10-03 12:00:00,99,0,995.1,2.98,29.8,41.6,4.1
2017-10-03 09:00:00,72,0,993.3,0.04,23.9,65.6,2.9
2017-10-03 06:00:00,66,0,991.1,0,25.1,70.4,6.1
