DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2012-01-01 21:00:00,51,0,990.7,2.27,31.4,40,6.8
2012-01-01 18:00:00,57,0,989.9,8,35.6,25.6,5.1
2012-01-01 15:00:00,63,0,993,5.96,33,35.2,5.8
2012-01-01 12:00:00,75,0,994.8,2.26,29,52.8,4
2012-01-01 09:00:00,63,0,993.9,0.04,23.6,86.4,1.4
2012-01-01 06:00:00,51,0,992.4,0,24.6,80,5.1
2012-01-01 03:00:00,51,0,992.7,0,25.6,73.6,6.6
2012-01-01 00:00:00,48,0,992.4,0,27,62.4,7.3
2011-12-31 21:00:00,51,0,989.7,2.06,32.1,35.2,5.6
2011-12-31 18:00:00,69,0,989.2,7.18,35.4,25.6,5.5
2011-12-31 15:00:00,69,0,992,6.07,33,33.6,6.1
2011-12-31 12:00:00,69,0,994.2,2.87,29.2,51.2,5
2011-12-31 09:00:00,66,0,993.4,0.05,23.6,78.4,4.1
2011-12-31 06:00:00,51,0,992,0,24.7,78.4,5.8
2011-12-31 03:00:00,51,0,992.7,0,25.9,73.6,6.7
2011-12-31 00:00:00,15,0,992.7,0,25.9,73.6,6.7
2011-12-30 21:00:00,90,0,989.9,2.6,33.5,27.2,3.6
2011-12-30 18:00:00,87,0,989.9,6.67,35.6,25.6,3.9
2011-12-30 15:00:00,78,0,993.3,5.65,32.5,36.8,4.5
2011-12-30 12:00:00,78,0,995.1,2.46,28.5,57.6,4.5
2011-12-30 09:00:00,63,0,994,0.02,23.7,86.4,3
2011-12-30 06:00:00,51,0,992.6,0,24.8,80,4.3
2011-12-30 03:00:00,51,0,993,0,25.1,75.2,6.6
2011-12-30 00:00:00,45,0,993.3,0,27,59.2,6.8
2011-12-29 21:00:00,63,0,990.7,2.22,33.1,35.2,4.6
2011-12-29 18:00:00,66,0,990.9,6.65,34.9,27.2,4.7
2011-12-29 15:00:00,66,0,993.6,6.92,32.8,36.8,4.9
2011-12-29 12:00:00,66,0,995.8,2.26,28,59.2,4.3
2011-12-29 09:00:00,63,0,994.8,0.04,23.6,88,3.1
2011-12-29 06:00:00,60,0,994,0,24.4,83.2,4.5
2011-12-29 03:00:00,51,0,994.3,0,25,76.8,5.6
2011-12-29 00:00:00,45,0,994.2,0,27.3,57.6,6.2
2011-12-28 21:00:00,57,0,992.7,1.98,31.9,40,3.4
2011-12-28 18:00:00,60,0,992.7,7.92,34.9,28.8,3.3
2011-12-28 15:00:00,57,0,995.6,5.34,32.4,35.2,30
2011-12-28 12:00:00,72,0,997,2.88,27.8,54.4,3.9
2011-12-28 09:00:00,57,0,995.8,0.04,22.6,88,2.2
2011-12-28 06:00:00,48,0,993.9,0,23.5,83.2,4.7
2011-12-28 03:00:00,48,0,994.2,0,24.4,86.4,16.3
2011-12-28 00:00:00,42,0,994,0,27.4,99.2,10.6
2011-12-27 21:00:00,45,0,991.8,2.4,32.4,35.2,3.3
2011-12-27 18:00:00,81,0,991.5,6.31,35.6,25.6,2.4
2011-12-27 15:00:00,96,0,994.2,6.74,33.2,33.6,2.7
2011-12-27 12:00:00,66,0,996.1,4.18,29.3,48,3.2
2011-12-27 09:00:00,48,0,994.8,0.05,23.6,80,2.3
2011-12-27 06:00:00,54,0,993.1,0,24.5,80,4.2
2011-12-27 03:00:00,51,0,993.6,0,25.5,73.6,5.1
2011-12-27 00:00:00,54,0,993.6,0,27.4,59.2,4.9
2011-12-26 21:00:00,114,0,991.5,0.86,32.4,27.2,3.4
2011-12-26 18:00:00,99,0,991.2,6.05,34.5,25.6,4.1
2011-12-26 15:00:00,87,0,993.2,6.12,33.1,35.2,4.7
2011-12-26 12:00:00,72,0,994.8,3.76,29,49.6,4
2011-12-26 09:00:00,57,0,993.6,0.05,24.2,73.6,3.7
2011-12-26 06:00:00,48,0,991.5,0,23.9,76.8,3.4
2011-12-26 03:00:00,45,0,992.1,0,25.1,73.6,4.8
2011-12-26 00:00:00,51,0,992.3,0,27,60.8,6.5
2011-12-25 21:00:00,87,0,989.6,1.8,33.3,32,3.7
2011-12-25 18:00:00,102,0,991,3.85,33.4,33.6,3.8
2011-12-25 15:00:00,87,0,993.2,6.67,32.7,35.2,4.3
2011-12-25 12:00:00,60,0,994.6,4.18,30.4,43.2,3
2011-12-25 09:00:00,57,0,992.9,0.1,23.3,75.2,2.4
2011-12-25 06:00:00,48,0,991.5,0,23.9,76.8,3.4
2011-12-25 03:00:00,45,0,992.1,0,25.1,73.6,4.8
2011-12-25 00:00:00,51,0,992.3,0,27,60.8,6.5
2011-12-24 21:00:00,87,0,989.6,1.8,33.3,32,3.7
2011-12-24 18:00:00,93,0,990.1,6.78,35.5,27.2,4
2011-12-24 15:00:00,87,0,993.3,6.9,33.9,32,4.3
2011-12-24 12:00:00,81,0,995.2,3,28.5,51.2,4.1
2011-12-24 09:00:00,57,0,993.5,0.04,23.3,80,3.8
2011-12-24 06:00:00,309,409.6,991.9,0.19,23.8,76.8,10.9
2011-12-24 03:00:00,51,0,992.3,0,25.1,75.2,6.2
2011-12-24 00:00:00,51,0,992,0,26,67.2,7
2011-12-23 21:00:00,69,0,989.5,1.96,30.7,48,4.1
2011-12-23 18:00:00,63,0,989.2,4.73,33.9,32,4.7
2011-12-23 15:00:00,72,0,992,3.94,31.4,38.4,5.7
2011-12-23 12:00:00,75,0,993.9,3.26,29.7,49.6,6
2011-12-23 09:00:00,66,0,992.8,0.04,24.6,73.6,4.5
2011-12-23 06:00:00,60,0,991.4,0,25.6,70.4,5.8
2011-12-23 03:00:00,51,0,992.5,0,25.4,75.2,6
2011-12-23 00:00:00,48,0,992.6,0,26.3,67.2,7.1
2011-12-22 21:00:00,45,0,989.6,1.69,30.9,44.8,5.1
2011-12-22 18:00:00,48,0,989.3,6.76,33.4,41.6,4.8
2011-12-22 15:00:00,54,0,992.1,5.21,31.4,48,6.2
2011-12-22 12:00:00,57,0,993.2,2.11,28,64,5.2
2011-12-22 09:00:00,54,0,992.2,0.05,24.3,83.2,3.4
2011-12-22 06:00:00,57,0,990.6,0,25.6,72,5.7
2011-12-22 03:00:00,54,0,991.8,0,26,72,6.5
2011-12-22 00:00:00,48,0,991.5,0,26.8,60.8,8.1
2011-12-21 21:00:00,69,0,988.9,2.08,31.4,44.8,4
2011-12-21 18:00:00,66,0,989.1,5.23,35.2,28.8,4.2
2011-12-21 15:00:00,84,0,991.7,6.68,33.2,35.2,5
2011-12-21 12:00:00,75,0,993.7,3.84,30.7,43.2,4.7
2011-12-21 09:00:00,63,0,992.5,0.08,25,70.4,4.2
2011-12-21 06:00:00,48,0,994.5,0,24.6,78.4,4.3
2011-12-21 03:00:00,42,0,991.1,0,25.4,76.8,6.1
2011-12-21 00:00:00,48,0,991.4,0,27.5,62.4,7
2011-12-20 21:00:00,87,0,989,2.42,34.5,27.2,3.9
2011-12-20 18:00:00,96,0,989,6.47,36.7,25.6,4.3
2011-12-20 15:00:00,87,0,992.3,8.72,34.8,30.4,5.2
2011-12-20 12:00:00,81,0,994.6,4.27,30.3,43.2,4.6
2011-12-20 09:00:00,60,0,993.9,0.08,23.3,83.2,3.6
2011-12-20 06:00:00,48,0,992.3,0,23.9,81.6,3.6
2011-12-20 03:00:00,48,0,993.3,0,25.1,72,4.6
2011-12-20 00:00:00,51,0,992.8,0,27.6,51.2,7.1
2011-12-19 21:00:00,72,0,990,1.86,33.2,30.4,3.7
2011-12-19 18:00:00,60,0,989.7,7.24,34.5,28.8,4.5
2011-12-19 15:00:00,78,0,992.3,6.32,32.2,36.8,4.3
2011-12-19 12:00:00,78,0,994.8,3.84,28.8,52.8,3.8
2011-12-19 09:00:00,66,0,993.5,0.08,23.8,76.8,4.5
2011-12-19 06:00:00,48,0,991.8,0,24.1,78.4,5.6
2011-12-19 03:00:00,45,0,992,0,25.3,73.6,5.8
2011-12-19 00:00:00,48,0,992.2,0,26.6,64,7.4
2011-12-18 21:00:00,60,0,989.2,2.45,33.6,22.4,3.8
2011-12-18 18:00:00,39,0,989.1,8.18,36.4,17.6,4.2
2011-12-18 15:00:00,81,0,992.2,8.75,34.8,25.6,4.4
2011-12-18 12:00:00,75,0,994.2,4.42,30,38.4,4.5
2011-12-18 09:00:00,57,0,993.2,0.08,22.5,80,2.9
2011-12-18 06:00:00,51,0,991.9,0,23.4,78.4,4.2
2011-12-18 03:00:00,42,0,991.8,0,21.9,72,5.4
2011-12-18 00:00:00,51,0,991.9,0,27.5,51.2,6.5
2011-12-17 21:00:00,105,0,989,2.1,33.3,24,2.9
2011-12-17 18:00:00,75,0,989.4,7.5,36.2,24,3.4
2011-12-17 15:00:00,78,0,992,8.48,33.8,30.4,4.2
2011-12-17 12:00:00,69,0,994.5,2.8,28,52.8,4.2
2011-12-17 09:00:00,54,0,993.1,0.08,23.1,78.4,2.9
2011-12-17 06:00:00,48,0,991.4,0,23.3,81.6,3.7
2011-12-17 03:00:00,48,0,991.5,0,24.7,75.2,5.2
2011-12-17 00:00:00,51,0,991.5,0,26.9,56,6.7
2011-12-16 21:00:00,69,0,989.2,1.94,31.9,36.8,5.1
2011-12-16 18:00:00,330,0,988.9,6.67,35.5,27.2,5
2011-12-16 15:00:00,78,0,992.1,7.36,33.6,32,6.4
2011-12-16 12:00:00,69,0,994.1,2.54,27.9,54.4,5.9
2011-12-16 09:00:00,57,0,992.5,0.1,23.2,80,4.3
2011-12-16 06:00:00,54,0,991.4,0,23.1,83.2,3.5
2011-12-16 03:00:00,51,0,992,0,24.5,75.2,5.5
2011-12-16 00:00:00,51,0,991.5,0,26,65.6,7.5
2011-12-15 21:00:00,57,0.2,988.9,1.94,30.6,40,6.4
2011-12-15 18:00:00,66,0,988.7,7.86,35,25.6,5.9
2011-12-15 15:00:00,69,0,991.9,7.18,33,30.4,6.9
2011-12-15 12:00:00,78,0,993.1,2.81,28.9,49.6,6.5
2011-12-15 09:00:00,72,0,992.1,0.05,23.2,76.8,3.4
2011-12-15 06:00:00,60,0,990.9,0,22.7,83.2,4.2
2011-12-15 03:00:00,54,0,991.6,0,24.2,76.8,5.9
2011-12-15 00:00:00,48,0,991.5,0,25.9,60.8,7.4
2011-12-14 21:00:00,81,0,988.5,2.24,31,41.6,4.4
