DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2016-01-01 21:00:00,108,0,989.4,1.98,34.5,20.8,2.9
2016-01-01 18:00:00,117,0,989.9,6.77,36,17.6,3.4
2016-01-01 15:00:00,117,0,992.4,7.18,34.9,24,2.4
2016-01-01 12:00:00,102,0,994.1,3.48,30.1,40,1.7
2016-01-01 09:00:00,66,0,992.4,0.05,24.9,62.4,2
2016-01-01 06:00:00,72,0,990.7,0,25.4,67.2,4
2016-01-01 03:00:00,63,0,991.6,0,26.8,62.4,4.8
2016-01-01 00:00:00,72,0,992,0,29.2,52.8,3.6
2015-12-31 21:00:00,105,0,989.5,1.81,33.7,24,2.5
2015-12-31 18:00:00,117,0,989.7,6.79,35.5,20.8,3.1
2015-12-31 15:00:00,108,0,992.1,7.24,34.4,27.2,3.3
2015-12-31 12:00:00,114,0,993.5,3.54,30.3,40,2.1
2015-12-31 09:00:00,66,0,992.4,0.06,24.5,83.2,0.2
2015-12-31 06:00:00,63,0,991,0,25.2,80,2.6
2015-12-31 03:00:00,57,0,991.7,0,25.8,75.2,3.4
2015-12-31 00:00:00,63,0,992.3,0,27.1,60.8,3.5
2015-12-30 21:00:00,69,0.2,990.6,1.31,28.2,57.6,5.5
2015-12-30 18:00:00,123,0,989.4,6.26,35,30.4,5.2
2015-12-30 15:00:00,126,0,992.6,5.54,33.5,41.6,3.9
2015-12-30 12:00:00,111,0,994.1,3.07,29.5,56,2.1
2015-12-30 09:00:00,93,0,991.9,0.08,23.4,84.8,0.2
2015-12-30 06:00:00,93,0,991.7,0,23.3,81.6,0.2
2015-12-30 03:00:00,81,0,992.6,0,24.1,76.8,0.1
2015-12-30 00:00:00,153,0.2,993.8,0,24.7,78.4,0.2
2015-12-29 21:00:00,120,0.6,991.9,2.12,25,81.6,4.5
2015-12-29 18:00:00,108,0,989.8,4.94,35.1,30.4,3.6
2015-12-29 15:00:00,108,0,992.7,5.74,33.5,33.6,3.2
2015-12-29 12:00:00,93,0,994,2.36,29.4,46.4,0.8
2015-12-29 09:00:00,69,0,992.6,0.06,24.6,67.2,0.9
2015-12-29 06:00:00,66,0,990.9,0,25.6,65.6,3.8
2015-12-29 03:00:00,63,0,991.4,0,26.6,70.4,5.5
2015-12-29 00:00:00,72,0,991.4,0,28.4,59.2,4.7
2015-12-28 21:00:00,96,0,988.9,1.74,34.2,28.8,3.4
2015-12-28 18:00:00,96,0,989.4,6.41,35.6,27.2,4.2
2015-12-28 15:00:00,111,0,992.6,6.61,34.6,33.6,3.9
2015-12-28 12:00:00,90,0,994.6,3.25,30,51.2,3.6
2015-12-28 09:00:00,72,0,992.7,0.04,24.4,80,2.5
2015-12-28 06:00:00,69,0,990.6,0,25.5,78.4,2.8
2015-12-28 03:00:00,69,0,991.5,0,26.7,68.8,3.9
2015-12-28 00:00:00,63,0,991.2,0,29.5,43.2,4.9
2015-12-27 21:00:00,93,0,988.7,1.87,33.6,28.8,3.2
2015-12-27 18:00:00,93,0,989.1,5.12,34.5,30.4,3.8
2015-12-27 15:00:00,96,0,991.8,5.47,33.1,35.2,4.6
2015-12-27 12:00:00,90,0,993.5,3.08,29.6,51.2,4.1
2015-12-27 09:00:00,69,0,991.6,0.07,25.1,78.4,2.5
2015-12-27 06:00:00,63,0,990,0,25.4,80,2.3
2015-12-27 03:00:00,60,0,990.6,0,26.7,68.8,4.3
2015-12-26 21:00:00,153,0,988.6,1.31,32.5,38.4,0.6
2015-12-26 18:00:00,123,0,988.5,4.74,34.6,30.4,1.7
2015-12-26 15:00:00,108,0,991.1,5.3,32.3,40,2.9
2015-12-26 12:00:00,90,0,992.6,2.83,29.1,56,3.3
2015-12-26 09:00:00,69,0,990.8,0.07,25.1,78.4,2.9
2015-12-26 06:00:00,63,0,989.4,0,25.5,75.2,3.5
2015-08-29 18:00:00,117,0,993,6.78,35,20.8,4.2
2015-08-29 15:00:00,102,0,996.1,7.64,33.5,25.6,5.1
2015-08-29 12:00:00,96,0.2,998.6,3.34,28.1,40,3.7
2015-08-29 09:00:00,0,0,850,0,0,,0
2015-08-29 06:00:00,0,0,850,0,0,,0
2015-08-29 03:00:00,0,0,953,0,0,,0
2015-08-29 00:00:00,0,0,850,0,0,,0
2015-08-26 12:00:00,78,0.2,997.4,2.62,26.9,59.2,2
2015-08-26 09:00:00,0,0,850,0,0,,0
2015-08-26 06:00:00,0,0,856.4,0,0,,0
2015-08-26 03:00:00,0,0,953,0,0,,0
2015-08-26 00:00:00,0,0,850,0,0,,0
2015-08-25 09:00:00,0,0,850,0,0,,0
2015-08-25 06:00:00,0,0,856.4,0,0,,0
2015-08-25 03:00:00,0,0,953,0,0,,0
2015-08-25 00:00:00,0,0,850,0,0,,0
2015-08-24 12:00:00,87,499.4,995.9,3.24,28.3,46.4,4.2
2015-08-24 09:00:00,0,0,850,0,0,,0
2015-08-24 06:00:00,0,0,856.4,0,0,,0
2015-08-24 03:00:00,0,0,953,0,0,,0
2015-08-24 00:00:00,0,0,850,0,0,,0
2015-08-23 09:00:00,0,0,850,0,0,,0
2015-08-23 06:00:00,0,0,856.4,0,0,,0
2015-08-23 03:00:00,0,0,953,0,0,,0
2015-08-23 00:00:00,0,0,850,0,0,,0
2015-08-22 12:00:00,96,0,995.8,2.72,28.6,52.8,4.7
2015-08-22 09:00:00,81,0.2,994.6,0.01,23.8,75.2,4.8
2015-08-22 06:00:00,75,0,993.9,0,23.6,80,6.2
2015-08-22 03:00:00,60,0.2,994.4,0,25.3,72,6.5
2015-08-22 00:00:00,0,0,850,0,0,,0
2015-08-21 21:00:00,0,0,850,0,0,,0
2015-08-21 18:00:00,0,0,953,0,0,,0
2015-08-21 15:00:00,0,0,850,0,0,,0
2015-08-21 12:00:00,78,0,997.5,3.18,28.6,49.6,5
2015-08-21 09:00:00,81,0,996.1,0.01,21.3,83.2,3
2015-08-21 06:00:00,54,0,995,0,23.2,75.2,4.1
2015-08-21 03:00:00,60,0,995.4,0,23.8,72,4.6
2015-08-21 00:00:00,57,0.2,994.8,0,26.2,57.6,6
2015-08-20 21:00:00,0,0,850,0,0,,0
2015-08-20 18:00:00,0,0,856.4,0,0,,0
2015-08-20 15:00:00,0,0,953,0,0,,0
2015-08-20 12:00:00,0,0,850,0,0,,0
2015-08-19 12:00:00,138,0.2,996.2,1.37,28.6,35.2,4.1
2015-08-19 09:00:00,0,0,1006,0,0,,0
2015-08-19 06:00:00,0,0,947.2,0,0,,0
2015-08-19 03:00:00,0,0,952.8,0,0,,0
2015-08-19 00:00:00,0,0,850,0,0,,0
2015-08-18 15:00:00,156,0,994.7,7.39,33.2,28.8,3.2
2015-08-18 12:00:00,105,0,997.1,3.19,29.5,38.4,2.5
2015-08-18 09:00:00,60,0,995.4,0.02,22.5,60.8,1.9
2015-08-18 06:00:00,60,0,993.7,0,23.5,73.6,2.1
2015-08-18 03:00:00,60,0,994.7,0,25.1,70.4,3.2
2015-08-18 00:00:00,75,0.2,994.1,0,27.3,57.6,3.8
2015-08-17 21:00:00,0,0,850,0,0,,0
2015-08-17 18:00:00,0,0,856.4,0,0,,0
2015-08-17 15:00:00,0,0,953,0,0,,0
2015-08-17 12:00:00,0,0,850,0,0,,0
2015-08-12 12:00:00,174,0.4,997.8,2.33,27.9,43.2,2.3
2015-08-12 09:00:00,0,0,850,0,0,,0
2015-08-12 06:00:00,0,0,856.4,0,0,,0
2015-08-12 03:00:00,0,0,953,0,0,,0
2015-08-12 00:00:00,0,0,850,0,0,,0
2015-08-11 09:00:00,0,0,850,0,0,,0
2015-08-11 06:00:00,0,0,856.4,0,0,,0
2015-08-11 03:00:00,0,0,953,0,0,,0
2015-08-11 00:00:00,0,0,850,0,0,,0
2015-08-10 09:00:00,72,0.4,995.9,0,22,75.2,0.8
2015-08-10 06:00:00,0,0,850,0,0,,0
2015-08-10 03:00:00,0,0,850,0,0,,0
2015-08-10 00:00:00,0,0,850,0,0,,0
2015-08-09 09:00:00,0,0,850,3.77,41.1,11.2,0
2015-08-09 06:00:00,0,292.4,856.4,6.56,29.5,75.2,0
2015-08-09 03:00:00,0,132.2,953.1,4.9,10,19.2,0
2015-08-09 00:00:00,0,544.8,870.5,4.9,13.6,20.8,0
2015-08-08 09:00:00,0,0,850,0,0,,0
2015-08-08 06:00:00,0,0,856.4,0,0,,0
2015-08-08 03:00:00,0,0,953,0,0,,0
2015-08-08 00:00:00,0,0,850,0,0,,0
2015-08-07 09:00:00,0,0,850,0,0,,0
2015-08-07 06:00:00,0,0,856.4,0,0,,0
2015-08-07 03:00:00,0,0,953,0,0,,0
2015-08-07 00:00:00,0,0,850,0,0,,0
2015-08-05 12:00:00,87,0,998.3,3,28.9,43.2,3.6
2015-08-05 09:00:00,78,0.2,996.8,0,21.3,84.8,0.6
2015-08-05 06:00:00,0,0,850,0,0,,0
2015-08-05 03:00:00,0,0,850,0,0,,0
2015-08-04 09:00:00,81,0.4,996.9,0,22.2,76.8,1.1
2015-08-04 06:00:00,0,0,850,0,0,,0
2015-08-04 03:00:00,0,0,850,0,0,,0
2015-08-04 00:00:00,0,0,850,0,0,,0
2015-08-03 12:00:00,126,0,997.7,2.96,29,38.4,1.8
2015-08-03 09:00:00,0,0,850,0,0,,0
2015-08-03 06:00:00,0,0,856.4,0,0,,0
2015-08-03 03:00:00,0,0,953,0,0,,0
2015-08-03 00:00:00,0,0,850,0,0,,0
2015-08-02 09:00:00,0,0,850,0,0,,0
2015-08-02 06:00:00,0,0,856.4,0,0,,0
2015-08-02 03:00:00,0,0,953,0,0,,0
2015-08-02 00:00:00,0,0,850,0,0,,0
2015-08-01 12:00:00,132,0.2,998.1,3.04,28.2,40,2.6
2015-08-01 09:00:00,0,0,850,0,0,,0
2015-08-01 06:00:00,0,0,856.4,0,0,,0
2015-08-01 03:00:00,0,0,953,0,0,,0
2015-08-01 00:00:00,0,0,850,0,0,,0
2015-07-31 18:00:00,0,0,850,0,0,,0
2015-07-31 15:00:00,0,0,856.4,0,0,,0
2015-07-31 12:00:00,9,1.2,911.8,0,1.2,38.4,0
2015-07-31 09:00:00,0,0,850,0,0,,0
2015-07-31 06:00:00,0,0,856.4,0,0,,0
2015-07-31 03:00:00,0,0,953,0,0,,0
2015-07-31 00:00:00,0,0,850,0,0,,0
2015-07-30 18:00:00,0,0,850,0,0,,0
2015-07-30 15:00:00,0,0,913,0,1.2,,0
2015-07-30 12:00:00,0,0,883.3,0,14,,0
2015-07-30 09:00:00,0,0,850,0,0,,0
2015-07-30 06:00:00,0,0,856.4,0,0,,0
2015-07-30 03:00:00,0,0,953,0,0,,0
2015-07-30 00:00:00,0,0,850,0,0,,0
2015-07-29 18:00:00,0,0,850,0,0,,0
2015-07-29 15:00:00,141,0,995.7,6.76,33.5,33.6,3.7
2015-07-29 12:00:00,114,0,997.6,2.92,28.8,48,2.7
2015-07-29 09:00:00,81,204.8,995.8,0.02,23.7,68.8,2.4
2015-07-29 06:00:00,69,0,995,0,23.4,78.4,3.6
2015-07-29 03:00:00,66,0,995.8,0,24.8,75.2,5.2
2015-07-29 00:00:00,90,1,995.5,0,25.1,81.6,1.3
2015-07-28 21:00:00,132,0,993.1,1,30.4,41.6,2
2015-07-28 18:00:00,138,0,993,3.77,32.2,36.8,3.7
2015-07-28 15:00:00,132,12.8,995.4,4.15,31.7,41.6,3.4
2015-07-28 12:00:00,126,0,997.1,1.51,27.9,59.2,0.7
2015-07-28 09:00:00,114,0,995.6,0,23.7,78.4,2.7
2015-07-28 06:00:00,87,0,994.8,0,24.1,80,2.6
2015-07-28 03:00:00,66,0,996,0,24.9,72,2.2
2015-07-28 00:00:00,18,0,995.9,0,25.3,70.4,1
2015-07-27 21:00:00,72,0,994.3,0.53,26.4,65.6,2.5
2015-07-27 18:00:00,126,0,993,3.84,30.9,41.6,3.7
2015-07-27 15:00:00,153,0,995.4,4.63,30.5,43.2,2.9
2015-07-27 12:00:00,198,0,997,1.21,26.7,65.6,0.7
2015-07-27 09:00:00,75,0,995.6,0,24.1,78.4,0.9
2015-07-27 06:00:00,72,0,994.8,0,24.2,78.4,3.5
2015-07-27 03:00:00,69,0,995.6,0,24.7,73.6,5.5
2015-07-27 00:00:00,57,0,995,0,26.4,62.4,2.7
2015-07-26 21:00:00,102,0.2,992.8,0.11,31.6,32,1.2
2015-07-26 18:00:00,0,0,850,0,0,,0
2015-07-26 15:00:00,0,0,856.4,0,0,,0
2015-07-26 12:00:00,183,0,997.4,1.1,26.4,67.2,0.1
2015-07-26 09:00:00,72,0,996,0.01,22.8,84.8,0.2
2015-07-26 06:00:00,57,0,994.7,0,23.3,81.6,1.1
2015-07-26 03:00:00,69,0,995.9,0,24.2,78.4,4.8
2015-07-26 00:00:00,303,0,995.8,0,25.8,60.8,2.8
2015-07-25 21:00:00,201,0,992.9,1.7,31,32,1.6
2015-07-25 18:00:00,201,0,992.6,6.31,34.9,27.2,2
2015-07-25 15:00:00,153,0,995.7,6.18,33.3,33.6,2.1
2015-07-25 12:00:00,87,0,997.7,2.38,28.9,52.8,1.7
2015-07-25 09:00:00,105,0,996.3,0,23.4,81.6,0.3
2015-07-25 06:00:00,75,0,995.2,0,23.2,84.8,2
2015-07-25 03:00:00,54,0,996.2,0,24.6,78.4,3.5
2015-07-25 00:00:00,117,0.2,996.2,0,26.5,68.8,2.4
2015-07-24 21:00:00,156,0,994.1,1.31,31.5,36.8,2.1
2015-07-24 18:00:00,141,0,993.5,4.03,33.6,32,2
2015-07-24 15:00:00,138,0,996,6.16,32.9,35.2,3
2015-07-24 12:00:00,204,0,998.2,2.03,28.8,51.2,0.5
2015-07-24 09:00:00,102,0,996.9,0,23.5,76.8,0.7
2015-07-24 06:00:00,78,0,996.1,0,23.8,78.4,3.7
2015-07-24 03:00:00,66,0,997,0,25.5,70.4,5.1
2015-07-24 00:00:00,144,0,996.7,0,27.5,60.8,1.2
2015-07-23 21:00:00,183,0,994.3,1.63,30.5,43.2,1.2
2015-07-23 18:00:00,168,0,993.8,4.56,32.7,35.2,2.3
2015-07-23 15:00:00,126,0,996.4,4.91,31.6,43.2,3.7
2015-07-23 12:00:00,108,0,997.6,2.42,29.3,51.2,3.6
2015-07-23 09:00:00,129,0,996.1,0.01,23.6,80,1.2
2015-07-23 06:00:00,78,0,995.9,0,24.3,81.6,4.1
2015-07-23 03:00:00,69,0,996.6,0,25,76.8,4.9
2015-07-23 00:00:00,48,4.2,995.9,0,26.2,67.2,5.2
2015-07-22 21:00:00,114,0.8,994.5,1.64,28,59.2,3.3
2015-07-22 18:00:00,129,0.4,993.2,4.56,34,32,2.9
2015-07-22 15:00:00,129,0,995.8,3.16,31.8,43.2,3.1
2015-07-22 12:00:00,87,0,996.9,1.49,27.5,56,2.9
2015-07-22 09:00:00,84,0,995.3,0.01,23.9,72,3.2
2015-07-22 06:00:00,78,0,994.6,0,24.8,70.4,4.5
2015-07-22 03:00:00,66,0,995.9,0,25.2,76.8,5.1
2015-07-22 00:00:00,57,0,995.4,0,26.5,65.6,5.7
2015-07-21 21:00:00,81,0,992.8,1.45,32.2,33.6,2
2015-07-21 18:00:00,111,153.6,992.9,4.55,34.1,30.4,2.9
2015-07-21 15:00:00,132,0,995.2,4.67,32.4,38.4,2.4
2015-07-21 12:00:00,0,0,850,0,0,,0
2015-07-21 09:00:00,0,0,995.5,0,22.5,81.6,0
2015-07-21 06:00:00,0,0,994.8,0,23.9,75.2,0
2015-07-21 03:00:00,39,0,995.8,0,25.3,70.4,0
2015-07-21 00:00:00,0,0,995.3,0,27.8,51.2,0
2015-07-20 21:00:00,81,0,993.4,0.98,30.9,38.4,0.2
2015-07-20 18:00:00,99,0,993.4,5.69,33.2,32,0.2
2015-07-20 15:00:00,117,0,1012,6.95,32.7,32,0.1
2015-07-20 12:00:00,0,0,997.4,2.8,29.8,43.2,0
2015-07-20 09:00:00,0,0,996,0,24.2,64,0
2015-07-20 06:00:00,0,0,994.8,0,24.6,72,0
2015-07-20 03:00:00,0,0,995.8,0,26.6,64,0
2015-07-20 00:00:00,0,0,995.4,0,29.2,43.2,0
2015-07-19 21:00:00,96,0,994.1,1.3,30.5,38.4,0
2015-07-19 18:00:00,102,0,993.9,4.49,32.6,33.6,0
2015-07-19 15:00:00,111,0,996.6,6.8,32.2,33.6,0
2015-07-19 12:00:00,0,0,997.9,2.86,29.2,43.2,0
2015-07-19 09:00:00,0,0,995.9,0,22.6,65.6,0
2015-07-19 06:00:00,0,0,995.7,0,23,76.8,0
2015-07-19 03:00:00,0,0,996.7,0,25.3,67.2,0
2015-07-19 00:00:00,0,0,996.3,0,28.2,43.2,0
2015-07-18 21:00:00,0,0,994.5,0.52,30.2,35.2,0
2015-07-18 18:00:00,93,0,994,3.11,31.1,33.6,0
