DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2013-01-01 21:00:00,75,0,989.3,1.27,33,33.6,0.8
2013-01-01 18:00:00,126,0,989.4,5.88,34.8,30.4,0.6
2013-01-01 15:00:00,123,0,992.3,6.95,33.6,33.6,26.1
2013-01-01 12:00:00,63,0,993.8,2.33,28.7,51.2,4.4
2013-01-01 09:00:00,57,0,992.6,0.01,25.6,68.8,4.8
2013-01-01 06:00:00,54,0,991.5,0,26.3,70.4,5
2013-01-01 03:00:00,45,0,991.9,0,25.9,72,6.6
2013-01-01 00:00:00,45,0,990.9,0,28.6,56,1.9
2012-12-31 21:00:00,66,0,989.4,1.6,33.1,30.4,1.5
2012-12-31 18:00:00,81,0,989.8,6.07,34.5,28.8,0.9
2012-12-31 15:00:00,87,0,992.6,7.31,32.7,35.2,2.7
2012-12-31 12:00:00,75,0,994.7,1.66,28.2,51.2,4.2
2012-12-31 09:00:00,60,0,993.1,0.05,25.1,67.2,3
2012-12-31 06:00:00,51,0,991.5,0,24.8,75.2,5.1
2012-12-31 03:00:00,51,0,992.3,0,25.7,73.6,6.9
2012-12-31 00:00:00,54,0,991.2,0,28.1,54.4,5.2
2012-12-30 21:00:00,99,0,988.6,1.58,34.2,25.6,0.7
2012-12-30 18:00:00,81,0,989.4,6.04,34.8,27.2,0.8
2012-12-30 15:00:00,99,0,992.3,6.98,33.8,32,3.2
2012-12-30 12:00:00,75,0,993.5,2.47,29.5,46.4,5.1
2012-12-30 09:00:00,63,0,992.7,0.41,25.5,67.2,5
2012-12-30 06:00:00,54,0,991.3,0,25.7,70.4,6.1
2012-12-30 03:00:00,48,0,992.4,0,25.9,72,6.3
2012-12-30 00:00:00,42,0,991.9,0,27.9,60.8,3.9
2012-12-29 21:00:00,54,0,989.4,1.48,32.6,35.2,0.4
2012-12-29 18:00:00,63,0,989.7,4.44,33.6,33.6,1
2012-12-29 15:00:00,93,0,992.3,3.38,31,41.6,3.6
2012-12-29 12:00:00,81,0,993.4,3.28,29.1,49.6,3.8
2012-12-29 09:00:00,63,0,992.4,0.04,24.3,76.8,3
2012-12-29 06:00:00,54,0,991,0,25,76.8,5.4
2012-12-29 03:00:00,48,0,991.4,0,25.9,72,7.5
2012-12-29 00:00:00,48,0,991.4,0,27.7,59.2,7.3
2012-12-28 21:00:00,66,0,988.8,2.24,34.2,27.2,1
2012-12-28 18:00:00,69,0,988.4,7.38,35.7,25.6,2.6
2012-12-28 15:00:00,66,0,991.6,7.4,33,33.6,5.6
2012-12-28 12:00:00,72,0,992.9,3.01,29.1,51.2,5.8
2012-12-28 09:00:00,57,0,992.1,0.06,25,72,4.1
