DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2017-01-01 21:00:00,117,0,989.2,1.9,34.6,27.2,2.6
2017-01-01 18:00:00,108,0,989.1,5.26,35.7,27.2,2.5
2017-01-01 15:00:00,111,0,992,6.55,35,30.4,2.6
2017-01-01 12:00:00,87,0,993.7,3.36,31.5,44.8,1.4
2017-01-01 09:00:00,57,0,992.1,0.06,25.3,78.4,0.8
2017-01-01 06:00:00,66,0,990.9,0,25.9,73.6,2.8
2017-01-01 03:00:00,60,0,991.7,0,26.7,67.2,5.2
2017-01-01 00:00:00,69,0,991.8,0,28.9,52.8,4.1
2016-12-31 21:00:00,108,0,989.4,1.98,34.5,20.8,2.9
2016-12-31 18:00:00,117,0,989.9,6.77,36,17.6,3.4
2016-12-31 15:00:00,117,0,992.4,7.18,34.9,24,2.4
2016-12-31 12:00:00,114,0,993.5,3.54,30.3,40,2.1
2016-12-31 09:00:00,66,0,992.4,0.06,24.5,83.2,0.2
2016-12-31 06:00:00,63,0,991,0,25.2,80,2.6
2016-12-31 03:00:00,57,0,991.7,0,25.8,75.2,3.4
2016-12-31 00:00:00,63,0,992.3,0,27.1,60.8,3.5
2016-12-30 21:00:00,69,0.2,990.6,1.31,28.2,57.6,5.5
2016-12-30 18:00:00,123,0,989.4,6.26,35,30.4,5.2
2016-12-30 15:00:00,126,0,992.6,5.54,33.5,41.6,3.9
2016-12-30 12:00:00,111,0,994.1,3.07,29.5,56,2.1
2016-12-30 09:00:00,93,0,991.9,0.08,23.4,84.8,0.2
2016-12-30 06:00:00,93,0,991.7,0,23.3,81.6,0.2
2016-12-30 03:00:00,81,0,992.6,0,24.1,76.8,0.1
2016-12-30 00:00:00,153,0.2,993.8,0,24.7,78.4,0.2
2016-12-29 21:00:00,120,0.6,991.9,2.12,25,81.6,4.5
2016-12-29 18:00:00,108,0,989.8,4.94,35.1,30.4,3.6
2016-12-29 15:00:00,126,0,992.6,5.54,33.5,41.6,3.9
2016-12-29 12:00:00,111,0,994.1,3.07,29.5,56,2.1
2016-12-29 09:00:00,93,0,991.9,0.08,23.4,84.8,0.2
2016-12-29 06:00:00,93,0,991.7,0,23.3,81.6,0.2
2016-12-29 03:00:00,81,0,992.6,0,24.1,76.8,0.1
2016-12-29 00:00:00,153,0.2,993.8,0,24.7,78.4,0.2
2016-12-28 21:00:00,120,0.6,991.9,2.12,25,81.6,4.5
2016-12-28 18:00:00,108,0,989.8,4.94,35.1,30.4,3.6
2016-12-28 15:00:00,108,0,992.7,5.74,33.5,33.6,3.2
2016-12-28 12:00:00,93,0,994,2.36,29.4,46.4,0.8
2016-12-28 09:00:00,69,0,992.6,0.06,24.6,67.2,0.9
2016-12-28 06:00:00,66,0,990.9,0,25.6,65.6,3.8
2016-12-28 03:00:00,63,0,991.4,0,26.6,70.4,5.5
2016-12-28 00:00:00,72,0,991.4,0,28.4,59.2,4.7
2016-12-27 21:00:00,96,0,988.9,1.74,34.2,28.8,3.4
2016-12-27 18:00:00,96,0,989.4,6.41,35.6,27.2,4.2
2016-12-27 15:00:00,111,0,992.6,6.61,34.6,33.6,3.9
2016-12-27 12:00:00,90,0,994.6,3.25,30,51.2,3.6
2016-12-27 09:00:00,72,0,992.7,0.04,24.4,80,2.5
2016-12-27 06:00:00,69,0,990.6,0,25.5,78.4,2.8
2016-12-27 03:00:00,69,0,991.5,0,26.7,68.8,3.9
2016-12-27 00:00:00,63,0,991.2,0,29.5,43.2,4.9
2016-12-26 21:00:00,93,51.6,988.7,1.87,33.6,28.8,3.2
2016-12-26 18:00:00,93,0,989.1,5.12,34.5,30.4,3.8
2016-12-26 15:00:00,96,0,991.8,5.47,33.1,35.2,4.6
2016-12-26 12:00:00,90,0,993.5,3.08,29.6,51.2,4.1
2016-12-26 09:00:00,69,0,991.6,0.07,25.1,78.4,2.5
2016-12-26 06:00:00,63,0,990,0,25.4,80,2.3
2016-12-26 03:00:00,159,409.4,990.6,12.28,12.2,67.2,23.4
2016-12-26 00:00:00,69,0,990.7,0,29,56,3.4
2016-12-25 21:00:00,153,0,988.6,1.31,32.5,38.4,0.6
2016-12-25 18:00:00,123,0,988.5,4.74,34.6,30.4,1.7
2016-12-25 15:00:00,108,0,991.1,5.3,32.3,40,2.9
2016-12-25 12:00:00,90,0,992.6,2.83,29.1,56,3.3
2016-12-25 09:00:00,69,0,990.8,0.07,25.1,78.4,2.9
2016-12-25 06:00:00,63,0,989.4,0,25.5,75.2,3.5
2016-12-25 03:00:00,63,0,989.9,0,26.7,68.8,5.1
2016-12-25 00:00:00,51,0,990.8,0,29,49.6,3.8
2016-12-24 21:00:00,120,0,988.4,1.55,33.3,30.4,0.8
2016-12-24 18:00:00,123,0,988.8,5.16,35.1,27.2,1.2
2016-12-24 15:00:00,126,0,991.4,5.65,33.3,33.6,1.9
2016-12-24 12:00:00,93,0,992.9,2.34,30,43.2,1.8
2016-12-24 09:00:00,48,0,991,0.05,24.8,68.8,0.1
2016-12-24 06:00:00,69,0,989.7,0,25,75.2,2.2
2016-12-24 03:00:00,63,0,989.6,0,26.5,68.8,5.4
2016-12-24 00:00:00,66,0,990.1,0,28.3,59.2,4
2016-12-23 21:00:00,102,0,988.1,1.15,33.5,30.4,2.8
2016-12-23 18:00:00,123,0,987.6,4.55,34.8,28.8,2.3
2016-12-23 15:00:00,135,0,990.4,6.25,34.4,32,2.4
2016-12-23 12:00:00,114,0,992.2,3.22,31,46.4,1
2016-12-23 09:00:00,69,0,990.9,0.08,24.4,84.8,0.4
2016-12-23 06:00:00,63,0,989.7,0,24.2,88,0.2
2016-12-23 03:00:00,60,0,990.7,0,25.2,84.8,0.5
2016-12-23 00:00:00,54,0.2,991.2,0,27.1,72,0.7
2016-12-22 21:00:00,111,0.6,989.5,0.71,28,68.8,1.7
2016-12-22 18:00:00,120,0,987.8,2.82,33.3,38.4,3.8
2016-12-22 15:00:00,117,0,989.9,3.88,32.9,38.4,4.2
2016-12-22 12:00:00,99,0,992.2,3.24,31.1,44.8,2.9
2016-12-22 09:00:00,75,0,991.2,0.1,25.6,76.8,1
2016-12-22 06:00:00,72,0,989.5,0,25.7,75.2,3.8
2016-12-22 03:00:00,66,0,990.6,0,26.3,70.4,5.4
2016-12-22 00:00:00,72,0,991.2,0,27.7,64,4.6
2016-12-21 21:00:00,96,0,989.1,1.81,32.7,30.4,3.9
2016-12-21 18:00:00,111,0,988.5,5.77,33.7,30.4,3.3
2016-12-21 15:00:00,99,0,990.3,5.05,32.2,38.4,3.1
2016-12-21 12:00:00,78,0,991.6,2.78,28.2,56,3.3
2016-12-21 09:00:00,72,0,990.7,0.08,24.8,76.8,1.7
2016-12-21 06:00:00,69,0,989.2,0,25.4,76.8,4.3
2016-12-21 03:00:00,72,0,990.1,0,26.1,72,5.2
2016-12-21 00:00:00,198,0,991.4,0,29,56,2.3
2016-12-20 21:00:00,207,0,989,0.94,31.5,40,1.7
2016-12-20 18:00:00,132,0,988.4,5.6,35.3,30.4,2.7
2016-12-20 15:00:00,132,0,990.7,6.12,31.7,38.4,3
2016-12-20 12:00:00,90,0,992.7,2.2,29.5,56,1
2016-12-20 09:00:00,0,0,991.5,0.07,25.2,81.6,0
2016-12-20 06:00:00,45,0,990.3,0,25.3,78.4,0.5
2016-12-20 03:00:00,66,0,991.3,0,26.3,70.4,2.3
2016-12-20 00:00:00,225,0,991.6,0,27.8,59.2,1.2
