DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2011-01-01 21:00:00,57,0,987.1,2.23,31.7,30.4,2.7
2011-01-01 18:00:00,72,0,987.3,6.59,33.1,30.4,3.8
2011-01-01 15:00:00,75,0,990.4,5.62,30.9,38.4,4.4
2011-01-01 12:00:00,63,0,991.9,3.77,27.5,54.4,3.8
2011-01-01 09:00:00,72,0,990.9,0.06,22.1,83.2,0.8
2011-01-01 06:00:00,63,0,989.3,0,22.7,78.4,2.8
2011-01-01 03:00:00,54,0,990.4,0,23.8,72,4.5
2011-01-01 00:00:00,45,0,990.1,0,26.2,54.4,5.7
2010-12-31 21:00:00,66,0,987.4,2.24,30.6,36.8,4
2010-12-31 18:00:00,81,53,987.3,4.06,32.3,32,4.2
2010-12-31 15:00:00,75,0,990.4,4.99,30.2,43.2,5.3
2010-12-31 12:00:00,75,0,991.1,2.83,26.8,60.8,4.4
2010-12-31 09:00:00,66,0,989.7,0.07,22,86.4,2.2
2010-12-31 06:00:00,57,0,988.6,0,22.3,84.8,2.9
2010-12-31 03:00:00,54,0,989.8,0,24.1,76.8,5.2
2010-12-31 00:00:00,48,0,989.7,0,26.2,64,4.3
2010-12-30 21:00:00,66,0,986.9,2.48,30.5,41.6,3.1
2010-12-30 18:00:00,78,0,987.1,6.55,31.8,38.4,3.1
2010-12-30 15:00:00,72,0,990,7.38,30.1,46.4,4.8
2010-12-30 12:00:00,66,0,991.4,2.52,26.9,62.4,3.3
2010-12-30 09:00:00,66,0,990,0.02,22.5,86.4,2
2010-12-30 06:00:00,57,0,988.1,0,23.1,84.8,3.5
2010-12-30 03:00:00,51,0,989.1,0,24.6,78.4,5.4
2010-12-30 00:00:00,42,0,988.7,0,26.7,65.6,2.6
2010-12-29 21:00:00,129,0,986.4,2.8,30.8,41.6,1.7
2010-12-29 18:00:00,84,0,986.9,7.92,32.7,35.2,3.5
2010-12-29 15:00:00,69,0,989.5,7.08,30.7,44.8,4.2
2010-12-29 12:00:00,69,0,991.2,3.46,27,64,4.3
2010-12-29 09:00:00,57,0,990.3,0.04,22.8,88,2.9
2010-12-29 06:00:00,60,0,988.7,0,22.7,86.4,3.9
2010-12-29 03:00:00,54,0,989.8,0,24.1,80,4.6
2010-12-29 00:00:00,36,0,989.4,0,26.4,60.8,3.3
2010-12-28 21:00:00,54,0,987.6,2.45,30.3,41.6,3.1
2010-12-28 18:00:00,63,0,987.1,8.48,33,33.6,3.5
2010-12-28 15:00:00,63,0,989.5,8.53,31.5,36.8,4.2
2010-12-28 12:00:00,66,0,991.4,4.44,27.7,54.4,3.5
2010-12-28 09:00:00,66,0,990.3,0.08,21.2,89.6,2.4
2010-12-28 06:00:00,114,0,989.1,0,21.8,84.8,2.1
2010-12-28 03:00:00,57,0,990.2,0,23.1,76.8,4.3
2010-12-28 00:00:00,45,0,990,0,26.1,59.2,4
2010-12-27 21:00:00,78,0,988.5,2.58,29.9,44.8,3.4
2010-12-27 18:00:00,66,0,988.8,5.9,32.5,33.6,3.3
2010-12-27 15:00:00,75,0,991.3,5.77,29.6,44.8,3.1
2010-12-27 12:00:00,69,0,992.9,3.8,27.1,60.8,3.4
2010-12-27 09:00:00,72,0,991.6,0.06,21.4,91.2,2.6
2010-12-27 06:00:00,45,0,990.1,0,23.1,84.8,3.5
2010-12-27 03:00:00,54,0,991.1,0,24.5,78.4,5.1
2010-12-27 00:00:00,42,0,991.5,0,26.2,64,4.6
2010-12-26 21:00:00,252,313,986.5,5.7,17,12.8,29.9
2010-12-26 18:00:00,66,0,990.1,7.31,32.5,36.8,4
2010-12-26 15:00:00,81,0,992.2,8.05,30.2,43.2,4
2010-12-26 12:00:00,75,0,993.7,3.88,27.2,60.8,3.9
2010-12-26 09:00:00,3,0,992.6,2.45,44.1,46.4,12.3
2010-12-26 06:00:00,57,0,991.2,0,23,86.4,2.4
2010-12-26 03:00:00,69,0,992.3,0,23.7,80,2.5
2010-12-26 00:00:00,54,0,992.2,0,25.5,65.6,3.8
2010-12-25 21:00:00,54,0,989.6,1.9,29,57.6,3.2
2010-12-25 18:00:00,75,0,989.9,7.36,31.8,44.8,3.4
2010-12-25 15:00:00,66,0,992.2,5.96,30.7,49.6,4.1
2010-12-25 12:00:00,75,0,993.3,3.19,27.2,64,3.2
2010-12-25 09:00:00,69,0,992.3,0.06,21.9,91.2,0.7
2010-12-25 06:00:00,66,0,991.5,0,22.8,89.6,2.4
2010-12-25 03:00:00,48,0,992,0,24.4,81.6,3.9
2010-12-25 00:00:00,60,0,991.2,0,25.4,75.2,3.8
2010-12-24 21:00:00,81,0,989.8,1.86,27.7,59.2,3.1
2010-12-24 18:00:00,84,0,989.2,6.36,32.1,40,3.5
2010-12-24 15:00:00,69,0,991,7.74,30.9,46.4,5.1
2010-12-24 12:00:00,69,0,992.2,3.84,27.3,57.6,4.1
2010-12-24 09:00:00,48,0,990.6,0.05,23.3,78.4,4.6
2010-12-24 06:00:00,51,0,989.6,0,23.6,83.2,4.1
2010-12-24 03:00:00,45,0,990.4,0,24.8,76.8,5.2
2010-12-24 00:00:00,39,0,991,0,27.4,64,2.8
2010-12-23 21:00:00,51,0,988.6,2.27,29.4,44.8,3.5
2010-12-23 18:00:00,72,0,988.7,7.86,31.9,35.2,3.4
2010-12-23 15:00:00,111,0,990.5,8.5,30.6,41.6,2.1
2010-12-23 12:00:00,57,0,991.6,4,26.2,70.4,1.8
2010-12-23 09:00:00,69,0,990.2,0.07,21.9,91.2,2
2010-12-23 06:00:00,69,0,989.3,0,22.8,89.6,2
2010-12-23 03:00:00,36,1.6,989.9,0,23.6,86.4,2.8
2010-12-23 00:00:00,60,0.2,990.7,0,24.1,83.2,3.7
2010-12-22 21:00:00,123,245,989,2.41,30.4,48,2.1
2010-12-22 18:00:00,114,471,989.8,7.06,32.8,40,3.8
2010-12-22 15:00:00,114,0,992.2,7.3,30.8,46.4,3.4
2010-12-22 12:00:00,75,0,994,3.86,27.6,62.4,2.1
2010-12-22 09:00:00,72,0,992.6,0.08,21.3,91.2,1.4
2010-12-22 06:00:00,57,0,991,0,22.9,86.4,2.3
2010-12-22 03:00:00,66,0,991.9,0,24.4,78.4,2.8
2010-12-22 00:00:00,66,0,992.5,0,26,70.4,2.4
2010-12-21 21:00:00,54,2,990.7,1.42,26.5,73.6,3.1
2010-12-21 18:00:00,81,0,989.8,5.89,31.4,44.8,5.9
2010-12-21 15:00:00,93,0,992.5,6.74,31.5,43.2,6.9
2010-12-21 12:00:00,84,0,994.6,4.15,28,59.2,4.3
2010-12-21 09:00:00,66,0,993.6,0.08,21.3,91.2,2
2010-12-21 06:00:00,63,0,992.4,0,22.2,91.2,3
2010-12-21 03:00:00,57,0,992.9,0,24.3,80,3.9
2010-12-21 00:00:00,60,0,993.4,0.38,26.6,62.4,3.9
2010-12-20 21:00:00,99,0,991.7,1.57,27.7,62.4,4.1
2010-12-20 18:00:00,72,0,990.8,5.95,31.7,41.6,5.9
2010-12-20 15:00:00,84,0,993.2,7,30.2,46.4,5.7
2010-12-20 12:00:00,78,0,994.2,4.04,27.5,56,3.3
2010-12-20 09:00:00,72,0,993.4,0.12,21,91.2,2.5
2010-12-20 06:00:00,60,0,991.7,0,22.1,91.2,4.2
2010-12-20 03:00:00,54,0,992.6,0,24.1,81.6,4.7
2010-12-20 00:00:00,45,0,992.6,0,25.7,72,4.1
2010-12-19 21:00:00,81,0,989.7,2.29,27.9,57.6,3.6
2010-12-19 18:00:00,102,0,989,5.15,31.3,46.4,2.9
2010-12-19 15:00:00,87,0,991.5,5.42,29.6,52.8,3.1
2010-12-19 12:00:00,51,0,992.5,2.66,26.4,68.8,2.8
2010-12-19 09:00:00,66,0,991,0.01,22.4,86.4,2.3
2010-12-19 06:00:00,69,0,989,0,23,83.2,2.4
2010-12-19 03:00:00,69,0,989.5,0,16.9,56,14.7
2010-12-19 00:00:00,0,0,990,0,24.7,96,1.4
2010-12-18 21:00:00,201,0,989.5,1.46,26.8,68.8,1
2010-12-18 18:00:00,186,0,988.8,4.42,28.4,56,2.1
2010-12-18 15:00:00,177,0,991.2,3.84,26.1,70.4,1.6
2010-12-18 12:00:00,210,0,992.8,1.45,23.5,83.2,2.5
2010-12-18 09:00:00,198,0.2,991.3,0.04,21.1,92.8,1
2010-12-18 06:00:00,63,68.8,989.9,0,7.8,92.8,0.2
2010-12-18 03:00:00,63,21,991.4,0,19.8,92.8,2.5
2010-12-18 00:00:00,42,4.2,991.4,0,21.6,91.2,2.2
2010-12-17 21:00:00,195,0.2,989.2,2.76,25.6,73.6,4.3
2010-12-17 18:00:00,75,5.8,987.4,3.76,27.9,68.8,2.4
2010-12-17 15:00:00,75,0,989.7,6.78,30.4,46.4,3.8
2010-12-17 12:00:00,66,0,992,3.78,26.8,65.6,3.3
2010-12-17 09:00:00,54,0.2,990.7,0.06,22.1,88,3.7
2010-12-17 06:00:00,72,0,989.7,0,22.6,89.6,2
2010-12-17 03:00:00,66,0,990.8,0,22.3,91.2,1.9
2010-12-17 00:00:00,36,0,991.9,0,23.2,86.4,2.9
2010-12-16 21:00:00,42,2.4,990.4,0.44,22.9,83.2,3.4
2010-12-16 18:00:00,93,0,988.6,4.07,32.2,40,3.5
2010-12-16 15:00:00,90,0,991.1,5.32,31.4,40,5.1
2010-12-16 12:00:00,75,0,992.9,3.73,27.7,57.6,3.3
2010-12-16 09:00:00,63,0,991.4,0.04,21.7,89.6,2.7
2010-12-16 06:00:00,69,0,989.2,0,22.3,88,2.3
2010-12-16 03:00:00,63,0,989.9,0,23.6,78.4,2.6
2010-12-16 00:00:00,30,0,991.3,0,25.3,65.6,1.7
2010-12-15 21:00:00,108,0,990,0.89,26.9,64,0.9
2010-12-15 18:00:00,129,0,989.6,2.7,27.8,60.8,2
2010-12-15 15:00:00,75,0,991.8,3.29,27.7,57.6,4.8
2010-12-15 12:00:00,60,0,992.5,1.33,25.6,68.8,4.7
2010-12-15 09:00:00,54,0,990.8,0.04,23.9,81.6,3.2
2010-12-15 06:00:00,60,0,988.5,0,24.2,83.2,3.5
2010-12-15 03:00:00,48,0,989,0,24.5,81.6,4.6
2010-12-15 00:00:00,48,0,989.2,0,26.6,75.2,1.1
2010-12-14 21:00:00,108,0,987.1,0.88,29,57.6,1.8
2010-12-14 18:00:00,93,0,986.6,4.5,31.1,48,1.7
2010-12-14 15:00:00,90,0,989.1,4.5,28.9,56,3.6
2010-12-14 12:00:00,87,1.2,990.6,1.33,24.7,84.8,1.1
2010-12-14 09:00:00,228,0,989,0.02,22.8,91.2,1.8
2010-12-14 06:00:00,213,0.2,987.3,0,22.5,91.2,0.8
2010-12-14 03:00:00,273,0.2,988.4,0,23.3,89.6,0.8
2010-12-14 00:00:00,312,0.2,989.1,0,22.2,88,1.9
2010-12-13 21:00:00,15,0,987.2,0.52,24.9,76.8,3.3
2010-12-13 18:00:00,63,0,985.5,5.95,28.9,59.2,2.7
2010-12-13 15:00:00,66,0,988.3,6.31,30.8,51.2,3.6
2010-12-13 12:00:00,63,0,989.6,2.41,27,68.8,2.8
2010-12-13 09:00:00,75,0,988.5,0.04,23.7,88,1.1
2010-12-13 06:00:00,60,0,987.1,0,23.8,84.8,2.1
2010-12-13 03:00:00,81,0,987.8,0,23.7,83.2,2.1
2010-12-13 00:00:00,42,0,988.9,0,24.2,78.4,2.6
2010-12-12 21:00:00,42,0,986.9,1.58,25.9,75.2,3.2
2010-12-12 18:00:00,69,0,986,4.79,30.6,49.6,3.2
2010-12-12 15:00:00,72,0,988.9,3.98,29,56,4
2010-12-12 12:00:00,78,0.2,990.4,1.5,25.4,75.2,3.9
