,0
0,0.37484720156986384
1,0.3638226260700677
2,0.3497188670185343
3,0.30950764428240235
4,0.27742472135446483
5,0.25915787917159816
6,0.25129958136837954
7,0.24218996916248936
8,0.23464552349769296
9,0.23006738178866323
10,0.23003449478436067
11,0.22559858185343906
12,0.22355475086899249
13,0.22178230210234925
14,0.222228634826743
15,0.22337472288326518
16,0.22036767056618664
17,0.215106581128507
18,0.21752039944636994
19,0.2210876346148845
20,0.21833825347893052
21,0.21377304377501874
22,0.2093901668962524
23,0.2059879493427152
24,0.20670029038078364
25,0.20816454630453338
26,0.20933782954824046
27,0.21469931223478236
28,0.22385641276998086
29,0.2325445184075804
