,0
0,0.012997892591686266
1,0.16433121173101659
2,0.1341784202136451
3,0.14559736491014766
4,0.1614753769928051
5,0.1817097976629269
6,0.2096311420005347
7,0.23366653513191452
8,0.24049050265754937
9,0.23313691060906197
10,0.2223175576754599
11,0.23117922165847882
12,0.29422854962440587
13,0.4045848146625158
14,0.4386455384247638
15,0.45489375672756277
16,0.4666155936160935
17,0.4661382370991316
18,0.4624321400137862
19,0.4753987883358306
20,0.4723605979007087
21,0.4711619010898009
22,0.4680314615337223
23,0.4669560623718319
24,0.46328942300194764
25,0.45500227353042355
26,0.4499807932407352
27,0.4527932314808868
28,0.4474946967117079
29,0.43997646658801065
