TestSMA45,PredSMA45
7.368888644440958,6.9940414
7.400000239133845,7.047547
7.42000026867391,7.1003504
7.284444575421022,7.1568904
7.13555590425334,7.176083
7.053333247995373,7.1880717
6.995555134805024,7.1932507
7.024444754068071,7.189331
7.011111213485405,7.1732187
6.973333129835119,7.1571355
6.900000063300135,7.1297054
6.926666581797596,7.0959654
6.880000033760072,7.077385
6.857777466122295,7.055074
6.802222453697533,7.030608
6.760000419187565,6.9999104
6.804444429127375,6.9694057
6.848889001735056,6.9344616
6.653333219861979,6.910456
6.591111155811948,6.8714814
6.6822222764571535,6.8355474
6.757777881089851,6.8231435
6.760000419187565,6.81515
6.893333574342739,6.793698
7.020000240540516,6.796885
7.059999736952769,6.8180923
7.075555252965278,6.837735
7.1955554302056575,6.867715
7.320000120973592,6.9168167
7.377777671496069,6.966597
7.464444841281591,7.0213823
7.566666401743877,7.0885396
7.444444811741528,7.1631074
7.293333602476133,7.215168
7.295555577905974,7.255077
7.4333332465887025,7.2948146
7.479999794626226,7.335714
7.55999991278648,7.3674407
7.617778025976828,7.4070415
7.591110944811495,7.4583416
7.615555487879114,7.4872885
7.579999942326543,7.516401
7.626666490364067,7.561357
7.642222569044447,7.5892467
7.602222509964321,7.6132135
7.660000060486796,7.6172705
7.731111151591938,7.623745
7.768888672574351,7.645537
7.873333333802223,7.6725783
8.040000059080127,7.715189
7.982221945889778,7.7688847
7.9422218868096515,7.8112354
7.919999881839747,7.8305206
7.917777343742032,7.860375
7.871110795704509,7.8877573
7.911110854784636,7.893169
7.959999940919873,7.910763
8.095555071504888,7.93042
8.022222567637778,7.9583926
8.04666598536965,7.9609704
8.073333066534984,7.9823484
8.066666577577587,8.003979
8.062222626717904,8.033915
8.293332828807808,8.060076
8.417778082243615,8.113713
8.395555514605839,8.174156
8.462222092183424,8.218994
8.460000116753584,8.271479
8.322221885402982,8.343397
8.311111445585903,8.358095
8.37999999859333,8.376305
8.473333094668376,8.41864
8.517777667276059,8.442729
8.491110586110727,8.462218
8.433333598256123,8.49509
8.415556106813774,8.510023
8.393333539175996,8.510118
8.420000057673457,8.523946
8.54444418577352,8.523959
8.557777163688312,8.53139
8.548889261968949,8.553713
8.55111123739879,8.559939
8.573333805036567,8.571993
8.479999583625775,8.595329
8.50666722745898,8.5952
8.50666722745898,8.587732
8.617777814976376,8.589261
8.548889261968949,8.59119
8.462222092183424,8.580977
8.444444600741075,8.57146
8.415556106813774,8.558785
8.43111106015841,8.546915
8.460000116753584,8.523952
8.448888551600758,8.5114
8.457778141323743,8.482674
8.606666812491424,8.4707775
8.702221883996312,8.485125
8.828889112861962,8.528667
8.88888920148215,8.587289
8.975555245931929,8.642086
9.039999848079674,8.707476
9.05333338866234,8.768009
9.017777280441896,8.82561
9.108888401087102,8.8750725
9.117777990810088,8.937295
9.173333003234848,8.979836
9.153333536362656,9.024309
9.195555570872626,9.055138
9.184444568387674,9.083718
9.193333595442784,9.114838
9.23333365452291,9.135012
9.244444657007865,9.157248
9.286666691517832,9.181243
9.448888340600304,9.196532
9.473332883667926,9.230076
9.47555542176564,9.253776
9.517776893607737,9.268767
9.497777426735544,9.295646
9.520000557041197,9.315554
9.59555559900602,9.326881
9.611111115018527,9.3454
9.651111174098654,9.359159
9.759999786186208,9.37106
9.70000026023389,9.3919735
9.719999727106082,9.40483
9.728888754161192,9.413216
9.684444744221384,9.424696
9.622221554835606,9.431586
9.708889287289002,9.429302
9.73333383035662,9.432243
9.697777722136175,9.439805
9.640000734281577,9.438894
9.59555559900602,9.433524
9.52888845876056,9.432833
9.58222149575548,9.417644
9.468888932808245,9.409456
9.30444418296018,9.398876
9.291111205045386,9.364683
9.344444242040309,9.33465
9.315555748113006,9.318807
9.27555568903288,9.288368
9.286666691517832,9.257318
9.30666615839002,9.2355
9.220000113940245,9.210532
9.186666543817514,9.177811
9.222222089370083,9.154995
9.039999848079674,9.13935
9.055555364092182,9.097438
9.055555364092182,9.061558
9.07111088010469,9.040892
9.039999848079674,9.00487
9.07777793172996,8.976433
9.182222592957832,8.967871
9.193333595442784,8.969059
9.184444568387674,8.975822
9.166667076945323,8.979617
9.1555555117925,9.005259
9.151111560932817,9.00858
9.060000440287611,9.012681
8.946666752004628,9.013043
8.89777766586939,8.995043
8.85333365592958,8.976203
8.857777606789263,8.951304
8.762222535284375,8.921599
8.717777962676692,8.880322
8.686666367983804,8.847178
8.682222417124121,8.806571
8.659999849486343,8.767748
8.762222535284375,8.725195
8.759999997186661,8.707914
8.753332945561391,8.695935
8.811111621419613,8.67484
8.88000017442704,8.676659
8.866666633844375,8.696491
8.871111147371929,8.701967
8.899999641299232,8.722668
8.95777775448958,8.747434
9.102222474797578,8.773781
9.266666661977768,8.814064
9.27777766446272,8.888455
9.411110819617894,8.947679
9.568888517840684,9.006331
9.560000616121322,9.091476
9.566667105078718,9.154775
9.620000142073636,9.204964
9.633333119988432,9.261064
9.593333060908304,9.300968
9.58000008299351,9.326957
9.442222976978655,9.353187
9.446666927838338,9.365636
9.419999846673004,9.367366
9.58000008299351,9.371319
9.382222325690591,9.381854
9.380000350260753,9.372091
9.33111070145764,9.3601265
9.359999758052815,9.356034
9.375555836733197,9.343292
9.31111123458545,9.326964
9.28444471608799,9.318323
9.162222000749896,9.290521
9.08666695878507,9.266045
9.022222356637323,9.221038
9.011111354152373,9.183798
9.093333447742468,9.13877
9.148888460167228,9.109372
9.142222533877703,9.087359
9.002222327097261,9.052103
8.908888668354342,9.018052
8.939999700379358,8.973473
8.92666615979669,8.956263
8.982222297557199,8.92001
8.97777722136177,8.899004
8.986666811084755,8.885474
8.993332737374278,8.870241
9.002222327097261,8.8672
9.011111354152373,8.864267
8.979999759459485,8.879704
8.895555690439549,8.884768
8.939999700379358,8.879646
8.937777724949516,8.879224
8.906666692924501,8.871029
8.877778198997198,8.865243
8.735555454119043,8.86639
8.659999849486343,8.845536
8.640000382614154,8.803218
8.635555306418725,8.770495
8.651110822431233,8.733433
8.628888817461329,8.700462
8.606666812491424,8.668961
8.588889321049075,8.636631
8.628888817461329,8.616846
8.677777340928694,8.598809
8.619999790406217,8.596196
8.837778139917072,8.572486
8.882222149856881,8.587284
8.844444066206597,8.635905
8.744445043842026,8.652639
8.893333715009707,8.664612
8.891111176911993,8.713561
8.92666615979669,8.742964
8.915555719979611,8.7656
8.937777724949516,8.799191
8.964444243446977,8.831231
8.88000017442704,8.846104
8.779999464058852,8.8723755
8.793333004641518,8.867628
8.844444066206597,8.877035
8.773333537769327,8.881346
8.713332886481265,8.875493
8.682222417124121,8.847322
8.720000500774407,8.825222
8.85111168049974,8.821562
8.84666660430431,8.823841
8.759999997186661,8.834877
8.748888994701709,8.812008
8.686666367983804,8.797497
8.568888728841138,8.7839985
8.575555780466408,8.747081
8.60444427439371,8.709227
8.606666812491424,8.688759
8.619999790406217,8.662087
8.662221824916186,8.627179
8.717777962676692,8.618387
8.708888935621582,8.609723
8.73111150325936,8.612287
8.779999464058852,8.635779
8.773333537769327,8.65983
8.855555631359422,8.661797
