,0
0,0.044642235375132344
1,0.05356145464620648
2,0.05667436006122716
3,0.051313968782265545
4,0.04716414732896996
5,0.047107965122085455
6,0.06232920590362215
7,0.06362185301239069
8,0.10249526266564608
9,0.11835318731585524
10,0.11730542113302889
11,0.12745344424348895
12,0.12295313024083117
13,0.12172748615337184
14,0.1175999785165113
15,0.11815404248646362
16,0.11953228016726061
17,0.1258215270527652
18,0.12762633375894106
19,0.12786252755467326
20,0.13119649267327543
21,0.12883711815194962
22,0.1483848069321177
23,0.1709649711495987
24,0.17130367472672686
25,0.1705601356166411
26,0.16741925351327522
27,0.1646267761501074
28,0.16196642026966543
29,0.1594219950892541
