,TestEMA01,TestEMA03,TestEMA05,TestEMA07,PredEMA01,PredEMA03,PredEMA05,PredEMA07,TestEMA005,PredEMA005
0,6.460000464922187,7.159999595479637,8.210000037802759,9.110000038214029,8.151974,5.801809,6.417309,6.956109,6.6400000996381126,7.627282
1,6.760000261141358,7.829999797739818,8.800000517733439,9.310000304050751,8.152815,6.226777,7.1053376,7.6338987,6.770000176225618,7.629269
2,6.960000125287473,8.119999646644267,8.800000517733439,8.950000224299735,8.154043,6.867461,7.614564,8.231017,6.869999960590896,7.6314096
3,6.690000489828733,6.979999865692844,6.550000024653973,5.700000058151783,8.155344,7.399205,7.880703,8.290337,6.7499999814108,7.636141
4,6.809999925280363,7.250000099930919,7.229999998356401,7.24000017777831,8.154691,7.531368,7.752221,7.972054,6.800000468447844,7.635458
5,6.770000314728168,7.000000119917104,6.810000169290617,6.650000157840555,8.152701,7.575778,7.8432302,8.174874,6.780000273633027,7.630343
6,6.900000407561658,7.300000095933683,7.409999643339186,7.600000257529326,8.153885,7.5392847,7.820828,7.9587054,6.840000263223074,7.629296
7,7.150000539641824,7.929999789745345,8.399999991782009,8.859999872066076,8.152582,7.5676565,7.791855,8.100424,6.970000339810579,7.629094
8,7.4300002286873745,8.549999996002763,9.199999728806294,9.660000270821165,8.154019,7.698696,7.912753,8.364105,7.120000016358496,7.6286983
9,7.460000389447806,8.289999888876817,8.450000221885759,8.290000078089538,8.155217,7.8433576,8.172599,8.430244,7.150000308580723,7.631898
10,7.469999839239568,8.089999904865765,8.029999735380686,7.809999971754848,8.157189,7.8689117,8.087018,8.198189,7.17000050339554,7.633786
11,7.670000307180731,8.479999745775741,8.710000366522403,8.919999885357912,8.160017,7.9204106,7.852371,8.089036,7.290000482575636,7.633305
12,7.949999996226281,9.090000464478916,9.609999906314902,10.029999798960976,8.163251,8.070588,7.9683948,8.331735,7.450000256530962,7.633719
13,7.980000156986713,8.85000061157723,8.949999893166115,8.820000084735456,8.167319,8.255331,8.169143,8.43466,7.490000051306192,7.6351495
14,7.840000614361461,8.14999938842277,7.730000327076046,7.199999725855878,8.170043,8.268128,8.1540985,8.5729885,7.440000159123554,7.6377473
15,7.829999956979603,8.039999908863,7.760000596626153,7.619999818898732,8.172719,8.223785,8.093148,8.401968,7.460000353938371,7.6359053
16,7.480000496621427,6.920000382135838,6.030000392819974,5.300000191070145,8.175284,8.2494755,8.049828,8.338332,7.300000579983045,7.637803
17,6.950000071700662,5.500000239834208,4.119999886591723,3.130000098027292,8.175265,8.053406,7.7738614,7.4853373,7.050000524215445,7.6384387
18,6.890000353974847,5.740000092735894,5.210000037802759,5.350000091381374,8.171487,7.6472664,7.0049086,6.581291,7.010000729440215,7.637762
19,6.900000407561658,6.119999806533739,6.09999992603808,6.50000045690687,8.168488,7.307909,6.6610165,6.515943,7.010000729440215,7.6345754
20,6.740000153967737,5.869999826519924,5.700000057525938,5.660000270821163,8.167666,7.0275874,6.6339054,6.5329123,6.92000044762794,7.6332483
