,0
0,2.1538909912779935
1,1.929839743596265
2,1.6294681736328487
3,1.915420517322533
4,1.7442044512147112
5,1.7096045841593834
6,1.5885823150771492
7,1.510054311611867
8,1.4877819494856157
9,1.4121304700916166
10,1.3514912705401343
11,1.3160013993395212
12,1.3492567950880288
13,1.3042487630144577
14,1.308943744737055
15,1.2823679304117463
16,1.4459464922792804
17,1.7402410938777533
18,1.7172190026443164
19,1.6737418427597917
20,1.64447430382939
21,1.621608852894943
22,1.6029761005917935
23,1.660765166510615
24,1.6272215460633574
25,1.6388460152968538
26,1.6093480278082086
27,1.5808422472250474
28,1.5547649719716778
29,1.5298292679558936
