,0
0,1.6919732594430474
1,1.5496299609431077
2,1.4408845535895234
3,1.447038054152899
4,1.4271559070095707
5,1.4198434270822127
6,1.3973422954253152
7,1.3543046350791033
8,1.2994585219818426
9,1.2522243579373904
10,1.2117938572143447
11,1.1687958279331558
12,1.1244992118396564
13,1.0847504211659404
14,1.0514274943419877
15,1.0216393988810373
16,1.0053788477607988
17,1.0188405059316026
18,1.0343280358369964
19,1.0472801644309018
20,1.0684689951803303
21,1.0786878833655504
22,1.0807787313776176
23,1.100649217744189
24,1.1129489496677565
25,1.134263875680451
26,1.1478639003482927
27,1.1543519158408009
28,1.1581472828675912
29,1.155970181506917
