,0
0,1.7926912304297122
1,1.7443658138926135
2,1.5801776335322186
3,1.5216483164416343
4,1.3808960339240577
5,1.3292813645630412
6,1.2404327346082102
7,1.1800717185234624
8,1.1924558206095763
9,1.1346589568802339
10,1.081991453850812
11,1.065101259990575
12,1.12003282221485
13,1.0992820292279974
14,1.0676376721953211
15,1.0370854693860194
16,1.119044818048508
17,1.387226373438823
18,1.4116217401895292
19,1.3815857260095596
20,1.3636044946614452
21,1.3382379309009964
22,1.3334641464559502
23,1.3366575083189172
24,1.3100125807561083
25,1.3037588832399045
26,1.2797402648060558
27,1.2567955094082806
28,1.2350141635574894
29,1.216925097026865
