,0
0,0.4268356780633207
1,0.3966583297691958
2,0.3532436498446347
3,0.3433925393123717
4,0.34581792441466924
5,0.3497154004402229
6,0.3425334886155215
7,0.3247534557570526
8,0.3069584856438834
9,0.29413784482048727
10,0.3046982899221638
11,0.3051707090730196
12,0.3037929960555459
13,0.30768744416571275
14,0.3221656425170441
15,0.324251534796923
16,0.33934943836935283
17,0.3630235964317963
18,0.383796936834597
19,0.4138626245859196
20,0.4512974204716321
21,0.48425588389181895
22,0.5046588132007732
23,0.519530853959035
24,0.5338353188278688
25,0.5352953453835556
26,0.5325437901348593
27,0.5281026029866125
28,0.5286223748162389
29,0.5283023061939557
