,0
0,1.5941516657218058
1,1.1461948282780587
2,1.0854702463337411
3,0.9556725514417869
4,0.9309396729094874
5,0.9024697959345621
6,0.8382480500546864
7,0.9364306545761398
8,0.9761928303913967
9,0.9301313900746991
10,1.232276132016212
11,1.1895711600958363
12,1.143130483820764
13,1.1279292482483905
14,1.1978053669813595
15,1.161422771570386
16,1.1988592068382322
17,1.2729373849547174
18,1.270898346430329
19,1.3243318262251087
20,1.4032428143767737
21,1.4116698324316008
22,1.381071150393997
23,1.3521796634452379
24,1.328218967811248
25,1.3437942601653612
26,1.3556468624403561
27,1.3466980740492982
28,1.3493274447797745
29,1.33062997298913
