,0
0,0.7941822150334552
1,0.6192176198432854
2,0.5428402399417503
3,0.49112842207726537
4,0.5330751152533734
5,0.5751229396097036
6,0.5420500366352009
7,0.5466769096598583
8,0.5642565216810783
9,0.536569273621267
10,0.7435704712046843
11,0.7528446284011042
12,0.7381261960032587
13,0.7548215281806436
14,0.8444474832240468
15,0.8285308916147283
16,0.8814405430945792
17,0.9722168506845689
18,1.0134625519159066
19,1.0891731643896718
20,1.1869905143070836
21,1.235615448899659
22,1.2227998452229332
23,1.204216899971272
24,1.1914015565726577
25,1.1720296090033633
26,1.160205789462039
27,1.1457886626583287
28,1.1357913942056228
29,1.1219981465434028
