,0
0,0.3499344633609063
1,0.3023644948501633
2,0.24734745604820343
3,0.22732219644974086
4,0.23854253425287655
5,0.254306244319815
6,0.2457167148049862
7,0.23292130349168266
8,0.23302181077802628
9,0.22181301931843256
10,0.2588713524424132
11,0.2644976355620844
12,0.26512743640694575
13,0.2765066127046462
14,0.3182641266302854
15,0.32340713302118257
16,0.35939097751571913
17,0.412885440498231
18,0.4558403719949633
19,0.5144115440676728
20,0.5853700319021237
21,0.6426016936661416
22,0.6671727438701855
23,0.6815758063726657
24,0.6945421229350637
25,0.6877787737763073
26,0.6765535768402832
27,0.6648857047248035
28,0.6605898100486218
29,0.6551286569496524
